WaveNum,row1_point1,row1_point2,row1_point3,row1_point4,row1_point5,row1_point6,row1_point7,row1_point8,row1_point9,row1_point10,row1_point11,row2_point1,row2_point2,row2_point3,row2_point4,row2_point5,row2_point6,row2_point7,row2_point8,row2_point9,row2_point10,row2_point11,row3_point1,row3_point2,row3_point3,row3_point4,row3_point5,row3_point6,row3_point7,row3_point8,row3_point9,row3_point10,row3_point11,row4_point1,row4_point2,row4_point3,row4_point4,row4_point5,row4_point6,row4_point7,row4_point8,row4_point9,row4_point10,row4_point11,row5_point1,row5_point2,row5_point3,row5_point4,row5_point5,row5_point6,row5_point7,row5_point8,row5_point9,row5_point10,row5_point11,row6_point1,row6_point2,row6_point3,row6_point4,row6_point5,row6_point6,row6_point7,row6_point8,row6_point9,row6_point10,row6_point11,row7_point1,row7_point2,row7_point3,row7_point4,row7_point5,row7_point6,row7_point7,row7_point8,row7_point9,row7_point10,row7_point11,row8_point1,row8_point2,row8_point3,row8_point4,row8_point5,row8_point6,row8_point7,row8_point8,row8_point9,row8_point10,row8_point11,row9_point1,row9_point2,row9_point3,row9_point4,row9_point5,row9_point6,row9_point7,row9_point8,row9_point9,row9_point10,row9_point11,row10_point1,row10_point2,row10_point3,row10_point4,row10_point5,row10_point6,row10_point7,row10_point8,row10_point9,row10_point10,row10_point11,row11_point1,row11_point2,row11_point3,row11_point4,row11_point5,row11_point6,row11_point7,row11_point8,row11_point9,row11_point10,row11_point11
99.96584,190.1434,187.9253,308.6719,238.5942,426.827,252.8237,210.4182,126.657,258.5993,151.3065,188.5823,185.2302,299.1844,189.8786,340.266,675.1989,139.3188,189.7515,166.836,166.2605,179.6957,185.687,139.8759,366.9392,205.1313,173.139,393.9447,176.647,514.2106,220.3636,154.9901,416.3093,263.3204,154.738,264.4707,296.1402,168.5899,190.8512,136.8804,180.8212,169.3904,437.609,204.7978,203.4972,322.5799,3196.797,260.3282,200.8115,176.5336,224.0486,257.2938,261.5372,194.7699,226.4953,153.1491,168.646,302.4095,535.5679,222.0943,185.0342,218.8036,117.7283,304.5785,276.6953,136.3196,186.8197,381.0218,290.1261,215.88,196.1307,142.8312,178.5703,157.351,182.3469,358.346,279.1083,443.8087,165.6401,166.4746,210.9089,206.3122,544.7776,189.7189,183.2582,221.2103,255.1597,591.0349,1466.888,195.0238,404.6007,178.275,216.7668,184.1517,321.7975,265.7258,282.2144,232.2178,513.8893,278.0141,195.1608,179.8808,227.0058,206.3124,381.6754,270.6092,612.7937,161.5959,194.0426,174.2475,547.4778,162.6738,177.7,655.8368,276.252,157.3897,162.8413,209.0144,722.3541,135.8171,4124.057,158.6143
100.9301,191.1912,189.8875,307.2245,238.6626,427.899,251.7786,211.2901,126.3902,258.872,152.8329,189.4134,185.6491,298.0503,189.2027,340.6591,674.8798,139.3999,189.8096,165.453,166.3909,180.5649,187.0395,139.0653,367.5873,205.3274,172.1929,392.3498,177.2168,514.8982,221.801,155.0888,415.9341,264.1183,155.1549,264.4389,294.9659,167.1749,189.7083,135.5229,180.194,170.4104,437.0732,205.3867,203.3861,322.1319,3204.755,261.3356,201.8582,177.0683,225.8941,255.9421,261.4209,194.9178,224.6824,152.4097,168.5681,304.2325,535.8206,221.7417,185.8181,217.7439,117.633,306.1718,275.7564,136.0551,185.2245,379.4222,290.2083,214.9517,196.8412,142.863,179.7504,157.2502,182.4502,360.6463,279.6276,443.5133,167.1022,167.5138,210.717,206.1427,546.6794,189.9578,182.0605,220.7232,255.1439,590.1096,1461.329,195.1255,405.7995,178.541,218.4113,183.6931,321.5602,265.1808,280.9973,232.864,516.3005,277.2236,194.8345,180.5469,227.4428,206.1001,381.127,270.8599,612.5217,160.5728,194.7287,172.7285,547.1075,162.4207,176.487,656.9011,275.8766,156.9539,163.0879,208.3326,721.3859,134.6625,4118.137,158.463
102.8585,190.5066,190.7589,306.0538,239.301,427.9786,251.6285,212.0103,125.9097,260.0114,152.7529,189.9023,186.2818,298.1022,188.7679,340.7263,669.6281,140.1339,189.803,164.6973,167.0652,179.4424,187.9595,138.5795,368.6184,205.4466,173.2002,393.7626,178.3165,513.844,221.7212,154.2846,415.7068,266.4575,154.4756,263.3102,295.6094,167.2861,188.5974,135.0905,180.2369,169.8025,435.9485,206.3,204.9929,321.3445,3202.53,262.4476,201.3137,177.5655,225.3749,255.4827,260.6819,194.3596,224.5652,152.7004,167.8288,304.1329,534.3563,220.9113,186.919,218.7822,119.1535,306.5899,274.4863,135.144,184.9947,377.4186,290.3807,214.6949,196.9781,141.9918,179.1823,158.2,183.3755,361.6207,281.3569,441.9237,166.1838,167.3215,211.0976,206.5675,547.4064,191.0089,180.8095,220.7654,255.1686,589.569,1461.446,194.9991,408.0827,179.3239,218.9754,182.9441,321.6,265.8128,280.2661,233.6476,519.5156,276.6392,193.3512,181.4307,226.8865,206.4972,380.3146,269.0902,613.8549,160.7243,194.2527,171.6228,546.5817,161.831,176.1386,656.9066,275.2296,157.1984,163.9934,210.6225,719.483,134.2782,4117.683,158.7242
103.8228,189.7992,191.9812,305.0783,240.6263,429.6259,252.4784,213.5408,125.9985,261.5041,152.658,190.8766,188.2701,299.4741,188.7846,341.6754,663.1923,141.8918,190.5592,165.1809,168.3177,178.5526,188.9933,138.2029,371.1652,205.3626,175.2898,396.0052,180.1971,512.1407,222.2531,153.9923,415.6506,270.0706,154.5367,262.7038,297.4599,168.5318,189.0291,135.0017,181.25,169.5678,436.1753,208.5066,207.361,321.1854,3201.775,265.4094,200.3352,178.4512,225.1485,256.1829,261.4784,193.8959,225.8657,154.0214,168.0029,304.7493,532.9202,221.4378,188.3904,220.8631,121.4039,306.3511,273.9425,135.0211,185.5108,376.0945,291.6964,214.9813,197.1257,141.77,178.4261,159.586,184.9009,363.8312,284.3026,440.0283,165.5465,166.7928,211.9985,207.5183,549.3619,192.9375,180.1175,222.5113,255.0224,588.9485,1463.408,194.7708,411.4671,180.254,219.4817,183.0965,322.8678,267.8391,281.2809,234.857,523.0729,276.7366,192.2827,183.0086,226.8685,208.2502,380.761,267.7183,617.3055,161.7285,193.4758,171.4046,546.1596,161.9483,176.0833,657.7156,275.5419,157.8207,164.9507,214.7042,718.3871,135.0785,4120.368,159.6978
105.7512,190.1394,192.2761,305.6989,241.1965,431.7348,253.8204,214.2907,126.9272,261.3828,152.8283,191.3641,189.8425,300.9601,189.439,342.7097,663.7271,142.8984,191.5965,167.035,168.7396,179.3696,188.8356,138.4302,372.8052,204.9385,176.1305,396.1358,180.7832,511.71,223.0958,154.942,415.8202,270.8938,155.8024,263.7795,298.6338,169.8456,191.5017,135.4697,182.512,170.4303,438.2878,209.9058,207.5487,322.2768,3204.404,267.3705,199.8797,178.6938,225.6878,257.7298,263.7263,194.2341,227.5425,155.1084,169.5361,305.7137,533.4559,223.4695,188.5081,221.5383,121.657,305.4515,275.3506,136.4346,186.3478,377.6367,293.0468,215.6837,197.0834,143.0324,178.439,159.6336,185.2344,365.1657,285.0556,440.1487,166.4197,166.4084,212.3958,207.9784,550.8532,193.5474,181.2479,224.7607,254.6645,588.8799,1464.752,194.5574,411.8763,180.0753,219.2268,184.5379,324.4534,269.2611,283.8644,235.0571,522.0933,277.8841,193.4409,183.5524,227.7382,209.7745,382.5113,268.8009,619.3457,162.6047,193.1852,172.8616,546.3433,163.0557,176.4648,658.6905,277.0084,158.1157,164.4863,216.0107,720.1598,136.7106,4123.122,160.4451
106.7155,191.1557,192.2292,307.3244,242.143,435.9611,256.2848,215.7351,129.0706,260.7964,153.0736,192.0913,192.6649,304.3607,191.1359,345.1567,667.4969,144.6973,193.5606,171.1297,169.4173,181.7814,188.0326,139.2178,375.3732,204.273,177.507,396.1158,181.4133,511.2296,225.3407,157.6015,416.3949,270.9165,158.9237,266.8288,300.6454,172.4366,196.9225,136.7255,184.7713,172.4194,443.4146,212.1265,207.3897,324.8525,3212.574,271.2091,199.893,179.2533,227.9335,261.2511,269.0507,195.2485,231.2718,157.4627,172.9862,308.3825,535.5002,228.3972,187.9052,222.8622,121.4808,303.0415,278.7935,139.7959,188.4671,381.8947,295.982,217.2613,197.021,145.959,179.0097,159.5459,185.5928,367.61,286.1612,441.3503,168.7812,166.0463,213.2819,208.6938,553.2001,194.643,184.2741,229.0899,254.1289,588.8613,1468.229,194.5752,411.9283,179.3725,218.5754,187.9642,327.5162,272.1323,289.1925,235.2243,519.015,280.0807,196.4881,184.3279,230.2038,212.9497,387.1987,272.7462,623.1268,164.602,193.3267,176.5705,547.0865,165.8234,177.4354,660.951,280.397,158.6932,163.5467,217.4565,724.351,140.2392,4129.472,162.0392
108.6439,191.0395,191.6452,306.9965,242.43,436.1892,255.7949,216.476,129.315,261.2703,152.6571,192.1283,192.7579,305.7334,191.5545,346.1715,667.8522,145.0496,193.397,171.4063,169.9524,182.243,187.8521,139.4529,375.0487,204.7066,178.1386,397.1161,181.3687,510.8241,226.586,158.5581,416.8209,269.9167,159.6129,267.7124,300.7923,172.729,197.0816,137.1441,184.346,172.4068,444.363,211.8342,207.9357,324.9567,3216.684,272.5349,201.147,180.0615,229.6728,261.9824,270.2816,195.5194,232.3494,158.3808,173.1538,309.717,536.0771,229.5919,187.1609,224.1299,121.5701,301.8822,279.0067,140.1854,189.5435,382.8058,296.9265,217.5395,197.226,146.0589,179.5437,160.2175,185.989,367.9513,287.1019,441.83,169.1429,166.6587,213.8743,208.7763,552.6861,195.7,184.8851,228.984,254.513,588.5131,1471.128,195.4557,412.6576,179.4495,218.6248,188.5698,327.493,273.1622,289.1552,235.5167,519.855,279.3756,196.5306,184.5712,231.3451,213.7669,389.2444,274.9257,624.4494,165.5203,194.4958,177.3992,547.5046,166.6058,177.6125,661.8004,280.7925,158.9382,164.4055,217.5626,724.1183,140.8127,4132.037,162.6448
109.6082,190.2018,189.9252,305.0445,242.86,434.2603,252.6893,217.8752,128.6535,263.2652,151.2842,191.7359,191.2275,307.7162,191.9541,347.8852,666.7027,145.1283,191.625,169.615,171.0567,182.2908,187.9011,139.8091,372.3825,206.7277,179.1851,400.5534,180.9729,510.0894,229.0186,159.8051,417.787,266.7351,159.7459,268.5805,300.0013,171.9072,193.9763,137.6059,181.5819,171.0173,444.2308,209.6409,209.9601,323.7459,3225.261,274.0281,205.4422,182.1792,234.2496,261.9643,270.7933,195.6086,233.2116,159.7182,171.4732,312.6553,536.8149,230.256,185.322,227.2974,122.1626,300.0342,277.445,139.1413,191.3775,382.5963,297.9136,217.3658,197.9232,144.3896,180.9371,162.4544,187.0195,367.9044,289.6647,442.6633,168.78,168.9243,215.3977,208.6061,549.5313,198.2049,184.7167,225.8247,256.2384,587.7621,1477.768,198.2711,415.1857,180.2075,219.5362,188.1902,325.4557,274.4558,285.3914,236.4853,524.7719,275.7302,194.8391,184.9713,233.321,214.4267,392.664,279.2885,625.8559,167.0844,198.0008,177.5616,548.3763,167.1908,177.6182,663.0715,280.0076,159.4816,167.9594,216.9418,720.5146,140.0174,4136.716,163.5488
111.5366,190.7144,189.8974,305.3546,243.4854,434.6166,252.5498,218.2142,128.6565,263.7845,151.3726,191.5454,191.2702,307.9066,192.8115,348.6099,667.4606,145.763,191.5892,169.829,170.7458,182.977,188.0198,140.2765,372.2843,207.5369,179.246,401.9456,181.4192,510.4266,229.562,160.1981,418.0105,266.018,160.0679,269.2657,300.3294,171.8482,193.7924,137.6503,181.5092,170.7403,445.3354,210.0769,210.7188,324.2237,3230.415,273.9862,207.1295,182.32,236.7383,262.3147,271.7033,195.2369,233.3323,160.0561,171.5901,314.5171,537.8903,231.1774,185.2147,227.9865,122.7715,300.099,277.5831,139.0813,191.312,382.0746,298.1458,217.3305,197.953,144.1575,181.4136,162.9512,187.1949,369.4517,291.0534,443.2609,168.9693,169.5177,216.4572,208.6516,549.1491,198.2757,184.526,225.7516,256.9434,588.5421,1478.528,198.8471,416.2043,180.3152,220.5575,188.3028,325.5748,274.5885,284.7756,237.0264,525.9332,275.3283,195.1799,185.5103,233.7525,215.3554,393.8055,280.6664,625.4171,167.4304,198.2353,177.8564,548.4761,167.4441,177.8901,663.6032,280.7413,160.0602,169.1037,216.869,719.7867,139.2312,4140.347,163.9531
112.5009,193.6776,191.5726,308.6639,245.5795,438.1196,255.2525,218.1396,129.3853,263.7874,153.1628,191.1825,193.0748,306.6424,195.8934,349.7807,671.7642,148.2788,193.3151,172.6225,168.3291,185.7403,188.4295,141.807,374.6914,208.6917,178.4103,403.9908,183.6467,512.5311,229.2494,160.5228,417.8979,266.4163,161.2749,271.1733,302.5045,172.4967,196.3598,137.3595,184.1264,171.0871,450.0139,214.1625,211.6714,327.4522,3242.36,272.2972,209.4852,180.6779,242.0855,263.7966,274.9293,193.6374,232.9641,160.0571,173.8628,319.0309,541.4922,234.2866,186.6821,227.4838,124.617,302.2436,279.8131,139.9708,189.1507,380.218,298.086,217.3804,197.3342,144.9941,181.8925,162.6225,186.8263,375.8031,294.0179,444.8148,170.143,169.5471,219.1723,209.0137,550.9006,195.9508,183.9614,228.8085,257.9845,592.4668,1474.661,198.2353,417.6797,179.9412,223.7339,189.1976,328.2172,273.8034,286.2711,238.2028,525.4425,277.5238,198.3653,187.2839,233.4644,218.4751,394.9193,281.7492,622.1888,167.2228,195.5167,178.9296,547.9537,167.895,178.9935,664.4351,284.5777,161.8437,170.0163,217.2318,720.6207,136.9121,4150.108,164.6664
