WaveNum,row1_point1,row1_point2,row1_point3,row1_point4,row1_point5,row1_point6,row1_point7,row1_point8,row1_point9,row1_point10,row1_point11,row2_point1,row2_point2,row2_point3,row2_point4,row2_point5,row2_point6,row2_point7,row2_point8,row2_point9,row2_point10,row2_point11,row3_point1,row3_point2,row3_point3,row3_point4,row3_point5,row3_point6,row3_point7,row3_point8,row3_point9,row3_point10,row3_point11,row4_point1,row4_point2,row4_point3,row4_point4,row4_point5,row4_point6,row4_point7,row4_point8,row4_point9,row4_point10,row4_point11,row5_point1,row5_point2,row5_point3,row5_point4,row5_point5,row5_point6,row5_point7,row5_point8,row5_point9,row5_point10,row5_point11,row6_point1,row6_point2,row6_point3,row6_point4,row6_point5,row6_point6,row6_point7,row6_point8,row6_point9,row6_point10,row6_point11,row7_point1,row7_point2,row7_point3,row7_point4,row7_point5,row7_point6,row7_point7,row7_point8,row7_point9,row7_point10,row7_point11,row8_point1,row8_point2,row8_point3,row8_point4,row8_point5,row8_point6,row8_point7,row8_point8,row8_point9,row8_point10,row8_point11,row9_point1,row9_point2,row9_point3,row9_point4,row9_point5,row9_point6,row9_point7,row9_point8,row9_point9,row9_point10,row9_point11,row10_point1,row10_point2,row10_point3,row10_point4,row10_point5,row10_point6,row10_point7,row10_point8,row10_point9,row10_point10,row10_point11,row11_point1,row11_point2,row11_point3,row11_point4,row11_point5,row11_point6,row11_point7,row11_point8,row11_point9,row11_point10,row11_point11
184.0,5.1755626,0.55776224,2.5214863,2.8144729,65.199639,3.0883854,3.4753874,0.64648386,1.8114696,1.5462916,3.0227178,2.95882,5.1362033,6.2771072,2.7006658,2.2980155,1.5614245,5.7425715,5.270086,798.82755,31.365502,1.1425586,0.90328696,0.66377198,0.58646315,2.8252561,38.589378,69.676655,1.4380344,186.61047,101.1403,5.1442947,1.7670037,1.869448,1.7319302,7.9401603,45.458858,1.6778108,32.94023,798.82755,23.274359,5.894457,73.548966,6.806232,2.3659231,3.6714434,18.57815,48.431098,3.5363495,1.7274214,2.5027042,4.2507167,6.0080982,6.1621264,8.9735676,4.3315269,8.1103926,30.597233,9.4209439,2.6554794,20.995159,81.839156,220.23572,4.4603244,16.752952,359.52322,83.626529,140.43275,3.437284,6.5603045,218.19171,0.43248722,69.864996,798.82755,177.77043,684.22206,1.9731466,43.220489,5.9413935,7.6068982,5.9238215,141.5893,3.6170729,798.82755,219.97993,798.82755,96.586583,798.82755,3.0370642,803.29173,237.75564,16.810856,22.299248,140.73106,207.67801,73.128944,565.14604,5.6767348,2.3104129,1.5462064,12.420684,4.735266,1.4016204,4.9975141,4.8429926,5.8535713,3.1505003,3.0588793,6.1458369,6.1656748,54.148911,2.3596445,2.0272074,7.2507622,28.540762,98.17811,7.4917246,46.729228,2.4947203,50.940049,10.320347
185.0,5.2754704,1.9293275,2.7469655,3.3619942,68.465415,3.8844479,3.0643102,0.424809,1.6612439,1.1776673,2.8095162,2.8817214,4.1270349,6.422438,3.4514126,2.267799,1.9640477,6.2899146,5.7652917,790.14927,30.960879,1.3983484,1.0062585,0.90690999,0.54032222,3.5966837,42.421297,73.93399,1.1098596,193.50961,106.5275,4.7483697,0.94866813,2.1281829,1.952819,7.9380244,44.54381,2.2177878,36.185492,790.14927,24.094209,5.66383,76.653508,6.0131181,2.8022361,3.5174228,19.37975,49.90536,4.004061,0.85340952,2.8101668,4.9416968,5.1582919,6.2152622,8.6501582,4.1456463,8.6224402,28.904014,8.2916446,2.3904365,20.443951,78.082548,224.80567,5.2875811,15.445686,355.55918,83.976421,150.89191,3.8027036,5.7806737,225.18511,1.5587146,73.537548,790.14927,173.5358,680.18441,2.2696239,45.290208,5.4065139,8.1276021,6.0197364,138.86162,3.7980979,790.14927,230.20911,790.14927,101.45915,790.14927,3.4463109,794.54752,238.10779,15.924579,20.64901,143.34763,217.61805,77.639868,555.35015,6.48724,2.0229754,1.3804874,12.76419,4.976694,1.8510631,4.5362714,5.0252258,5.3224211,3.2243875,4.211518,9.1021381,7.905538,56.259306,2.7870069,1.9498555,7.1586732,30.498764,101.35134,7.7884106,48.232647,2.3984656,55.591467,10.830112
186.0,5.2530111,2.3776807,2.8001576,3.4905932,68.643559,4.1536996,2.8586665,0.37799694,1.6727298,1.0589135,2.7553664,2.9158456,3.8500101,6.3794746,3.7613042,2.272899,2.0359528,6.4717717,5.9945276,787.78214,30.885196,1.4947202,1.060133,1.0406416,0.60973797,3.9621091,43.088934,74.567376,1.0148959,192.72198,106.73743,4.5545079,0.72371558,2.2504658,1.9514335,7.8122269,44.434836,2.3956121,36.922931,787.78214,24.184537,5.5964618,76.649386,5.8163962,2.9040502,3.4638814,19.530666,49.33364,4.0889365,0.58520677,2.8535465,5.0833917,4.9616327,6.2986898,8.5029285,4.0419881,8.7499762,28.041986,7.8953829,2.3192399,19.922144,76.002313,222.31535,5.3994167,15.106786,354.76573,84.087633,151.05161,3.9055225,5.4974555,224.24386,1.9637666,74.181014,787.78214,170.94359,678.83655,2.3547044,45.31937,5.343117,8.1129261,6.0486692,133.33467,3.9971581,787.78214,230.13853,787.78214,101.18996,787.78214,3.5947991,792.11472,235.33883,15.566725,19.965923,143.90216,218.59327,77.723936,552.77571,6.6311702,1.9275596,1.3316217,12.905218,5.0085273,1.9700617,4.4493752,5.1065287,5.1945737,3.2653637,4.6240066,9.92583,8.3970245,56.120228,2.9013548,1.8832862,7.0334605,30.857384,100.49292,7.8955608,48.429484,2.347206,57.206315,10.896806
187.0,5.1084129,2.9045807,2.9135418,3.6638285,69.483427,4.3698489,2.5755765,0.37723563,1.8775889,1.0009512,2.6758907,3.0819205,3.6951058,6.0318768,4.2624425,2.388646,1.9363508,6.8470243,6.5410988,784.18559,31.444301,1.5034003,1.1157372,1.2876644,0.81948011,4.291455,43.443146,76.354047,0.97474341,192.92007,106.16932,4.5092364,0.61586396,2.4336048,1.8396365,7.7174761,46.619062,2.5791778,38.023745,784.18559,24.401298,5.5918169,77.470162,5.6396575,2.9187437,3.3687252,19.814415,49.421674,4.2796395,0.31273203,2.801791,5.1124434,5.0132382,6.4663137,8.3413859,3.8420948,8.7513365,28.125154,7.514509,2.1434533,19.577544,76.071497,220.35647,5.4801386,15.175816,353.7169,87.970859,152.38778,4.079435,5.3434774,225.68951,2.541715,75.273643,784.18559,171.21237,675.20672,2.3533255,46.720466,5.4951722,7.6618133,5.9851446,130.86728,4.5368263,784.18559,232.20535,784.18559,100.00843,784.18559,3.782952,788.45276,234.81227,15.277086,19.648519,144.96827,219.77005,78.169276,552.51251,6.5287272,1.9105642,1.2511488,13.00162,5.1157179,2.1512573,4.4260241,5.3369531,5.3693038,3.3455971,5.1324652,11.329778,8.665371,57.464366,2.8334965,1.7675003,6.8710496,31.920835,99.761597,8.1887536,48.437443,2.3864728,60.83798,11.327653
188.0,4.7008764,3.4310338,3.1317894,3.8838813,71.443117,4.3594683,2.1954805,0.49974442,2.5107014,1.1229011,2.5559781,3.5282257,3.9219395,5.004429,5.0770009,2.7469667,1.4233332,7.6064355,7.725857,778.51686,33.379158,1.2789075,1.1517968,1.7364387,1.315323,4.4036373,42.64172,80.104845,1.0916724,194.24164,103.32605,4.8616188,0.85804704,2.7098403,1.4775848,7.7137355,53.672681,2.7066933,39.509852,778.51686,24.788011,5.7494105,79.707868,5.5852288,2.6936459,3.1861629,20.27904,50.736423,4.6502535,0.1315302,2.519696,4.8362953,5.6716477,6.7950629,8.1992334,3.4580482,8.4180524,30.45896,7.3136297,1.7604063,19.740569,81.111394,218.69218,5.4395847,16.28705,352.32954,99.646343,155.05291,4.3674005,5.5802786,231.2274,3.3519781,76.885355,778.51686,177.90336,666.85054,2.1273113,50.707159,6.1533232,6.2318107,5.7065611,135.25482,5.7719949,778.51686,237.60095,778.51686,96.319352,778.51686,3.9977266,782.7189,239.03875,15.203747,20.330171,146.60858,220.25647,78.830451,558.0236,5.8025882,2.1080645,1.1218763,12.948523,5.3720955,2.4269655,4.5755875,5.8699317,6.2597955,3.4917026,5.6884532,13.672888,8.2222043,61.795348,2.3104259,1.5674156,6.6705114,34.234432,98.999408,8.8385122,47.843326,2.6512707,68.466756,12.513384
189.0,4.5316461,3.3855789,3.1700698,3.8953892,71.349323,4.1772673,2.1385196,0.5908941,2.7929425,1.2460455,2.5200455,3.7050851,4.2017891,4.5170263,5.2739845,2.8982129,1.1382355,7.9063788,8.1760457,776.68003,34.089906,1.1172255,1.1272569,1.8580429,1.4965447,4.2426045,41.270383,80.310723,1.1971084,191.19538,100.5264,5.1124316,1.1112747,2.7736439,1.3013306,7.7051069,56.053458,2.6550429,39.304211,776.68003,24.674063,5.8512397,79.436815,5.6858486,2.5114926,3.090645,20.224051,50.273606,4.6937742,0.20610028,2.3620113,4.6266639,6.017658,6.9092976,8.2096753,3.3191106,8.1752969,31.463979,7.4451653,1.6265462,19.866509,82.761262,213.91087,5.3250622,17.002504,351.99006,103.10496,152.42335,4.4193638,5.8400383,229.53978,3.478328,76.513792,776.68003,179.60119,663.43132,1.9768275,51.104874,6.4930595,5.5636462,5.5711335,134.49122,6.2467833,776.68003,235.64473,776.68003,93.076451,776.68003,3.9900124,780.81724,238.69549,15.158522,20.817791,145.94451,217.56089,77.38915,560.97459,5.3300299,2.264126,1.1018395,12.8528,5.4487231,2.4836114,4.6882943,6.0649955,6.7128702,3.5148734,5.6629376,14.12077,7.6475406,62.703668,1.9890875,1.5170841,6.6470567,34.503619,97.23373,9.0150875,47.144892,2.8137544,71.283651,12.915786
190.0,4.5557195,3.1332033,3.0840649,3.834004,72.470632,3.8282842,2.2092224,0.83691071,3.14901,1.4031115,2.4720788,3.8763062,4.8166883,4.0447627,5.4938605,3.0324358,0.81058871,8.7612957,9.0169631,773.10755,35.043225,0.95502825,0.98995805,2.0177972,1.6485216,4.1621378,39.844869,81.169554,1.4432898,189.26614,98.931077,5.1813331,1.6158621,2.8956743,1.0504438,7.7435534,58.948894,2.5977762,38.862806,773.10755,24.418071,5.7976403,79.006989,5.9405148,2.1834672,2.8014727,20.263568,50.458768,4.5323362,0.41793448,2.1824794,4.490913,6.4301854,7.0592034,8.0862908,3.1586347,7.9337905,32.745187,7.6369378,1.5895553,19.99281,86.475443,211.5204,5.1485088,17.82341,350.79324,108.05318,149.63172,4.5773097,6.0670402,228.3004,3.4415326,76.132563,773.10755,185.70385,659.21706,1.8598669,53.289381,6.814303,4.947505,5.441727,137.46332,7.2994072,773.10755,237.20195,773.10755,90.635194,773.10755,4.1357489,777.18023,239.85349,14.978249,22.165271,146.68168,216.75171,77.598817,564.95466,4.8235027,2.590541,1.2584475,12.719962,5.2472587,2.5588064,4.8176145,6.233587,6.9445656,3.4327306,5.9065874,16.05977,6.8081767,63.513678,1.7386593,1.5891374,6.5585403,35.033223,97.749287,9.230693,46.667967,3.1748452,76.913192,13.405131
191.0,4.9422425,2.6158387,2.788798,3.665251,74.642648,3.361713,2.4802118,1.2252593,3.406068,1.5245915,2.4262024,3.9042822,5.7029746,3.898401,5.587552,3.0315722,0.60629004,10.136799,10.047702,768.31588,35.670543,0.89698856,0.71526332,2.1334753,1.6305182,4.2751917,38.850001,82.009631,1.7958501,188.17423,99.923228,4.8191272,2.2828956,3.0485839,0.81052944,7.7918386,60.268845,2.5572669,37.938346,768.31588,23.888747,5.4601702,77.674764,6.3398198,1.7678022,2.2905385,20.364524,50.898374,4.0249261,0.75392208,2.0785907,4.5880824,6.6219343,7.1820375,7.7742338,3.0438517,7.8475785,33.354724,7.81482,1.7671316,19.858488,90.625055,212.11022,4.9332367,18.299208,348.7064,111.38226,145.99305,4.8113448,6.0733667,225.83592,3.1018812,75.532234,768.31588,194.59123,656.10311,1.8885334,56.573965,6.8858485,4.8438465,5.4057626,142.08344,8.7852072,768.31588,241.76617,768.31588,90.345481,768.31588,4.4819399,772.32435,240.85068,14.509897,24.185229,149.09473,218.7188,79.823374,567.62981,4.5572293,3.0341426,1.6688537,12.595135,4.625291,2.6229295,4.8729887,6.2285271,6.5476422,3.1793104,6.4791665,19.515907,5.9610452,62.821963,1.79179,1.8523075,6.3959888,35.328666,101.23486,9.3357508,46.778603,3.6889682,84.250128,13.650415
192.0,5.3576904,2.2541753,2.510444,3.5301625,75.12816,3.1670226,2.7109135,1.4115603,3.3124182,1.5000635,2.4158885,3.7289169,6.0968197,4.2080054,5.4270498,2.8707126,0.70495138,10.804584,10.310809,766.36174,35.145116,0.99899425,0.53617044,2.078487,1.4327224,4.464983,38.657131,81.054186,1.9298649,185.34699,101.5982,4.2915192,2.5176784,3.0912305,0.78910579,7.7265705,57.795216,2.5576608,36.915066,766.36174,23.326774,5.1106224,75.39482,6.5425701,1.613217,1.9653623,20.30349,49.971204,3.5441379,0.90789854,2.1491801,4.8402006,6.2963323,7.1672906,7.5368946,3.0567228,7.9937745,32.192509,7.808996,2.0095696,19.326207,89.850315,210.78335,4.8261933,17.964544,347.59115,108.21539,141.4944,4.8745608,5.8319135,220.30724,2.7419632,74.624643,766.36174,195.80162,656.81477,2.0486147,56.70673,6.6271611,5.3809152,5.4962161,139.18663,9.3689921,766.36174,241.40243,766.36174,91.163086,766.36174,4.7186204,770.30633,237.54962,13.964548,24.905551,150.27101,219.8074,80.649637,565.53959,4.7486788,3.1956644,1.9881994,12.58327,4.1147405,2.6200333,4.7703923,6.0306027,5.7909178,2.9497103,6.8245235,21.254095,5.8176224,60.107033,2.1152826,2.0756407,6.296824,34.562124,103.07488,9.1669438,47.187596,3.899191,86.581704,13.289933
193.0,6.0776074,1.859796,2.1641069,3.1744072,76.441011,3.1379919,3.1515063,1.6732404,3.1323147,1.3403485,2.3796925,3.6535816,6.2161614,4.7158204,5.567057,2.6804698,1.1000567,12.176466,11.194452,760.85281,34.715093,1.2266451,0.31334646,2.0634087,1.2119503,5.062482,39.606898,79.718227,2.1616206,185.44853,104.9791,3.7971979,2.8070747,3.2241015,0.9218189,7.816973,55.096885,2.6469531,36.049848,760.85281,22.936543,4.7913007,74.035541,6.6714253,1.6315079,1.7817979,19.841317,49.674587,2.9131914,1.2744444,2.2945648,5.2843365,6.4068644,7.1399031,7.2935029,3.2687444,8.1871431,30.49133,7.8508211,2.4491526,19.161074,87.951385,210.50987,5.0611373,17.427446,343.75135,104.33573,138.17015,5.1588056,5.3788406,213.28801,2.0627194,73.292806,760.85281,197.09279,657.60355,2.2955207,58.005513,6.088469,6.152951,5.8759471,136.86825,10.107113,760.85281,243.76042,760.85281,93.878599,760.85281,4.7716363,764.73386,231.94582,13.503242,25.304194,149.47157,222.40442,83.155432,561.31113,5.0884128,3.481822,2.3255938,12.877252,3.2502365,2.4591995,4.9430918,5.8030635,5.0128858,2.7456209,7.3872803,23.501885,5.6455619,57.016093,2.5172472,2.4753719,6.2866944,33.908361,106.12858,8.928231,47.357448,4.1581056,92.209543,13.021902
