WaveNum,row1_point1,row1_point2,row1_point3,row1_point4,row1_point5,row1_point6,row1_point7,row1_point8,row1_point9,row1_point10,row1_point11,row2_point1,row2_point2,row2_point3,row2_point4,row2_point5,row2_point6,row2_point7,row2_point8,row2_point9,row2_point10,row2_point11,row3_point1,row3_point2,row3_point3,row3_point4,row3_point5,row3_point6,row3_point7,row3_point8,row3_point9,row3_point10,row3_point11,row4_point1,row4_point2,row4_point3,row4_point4,row4_point5,row4_point6,row4_point7,row4_point8,row4_point9,row4_point10,row4_point11,row5_point1,row5_point2,row5_point3,row5_point4,row5_point5,row5_point6,row5_point7,row5_point8,row5_point9,row5_point10,row5_point11,row6_point1,row6_point2,row6_point3,row6_point4,row6_point5,row6_point6,row6_point7,row6_point8,row6_point9,row6_point10,row6_point11,row7_point1,row7_point2,row7_point3,row7_point4,row7_point5,row7_point6,row7_point7,row7_point8,row7_point9,row7_point10,row7_point11,row8_point1,row8_point2,row8_point3,row8_point4,row8_point5,row8_point6,row8_point7,row8_point8,row8_point9,row8_point10,row8_point11,row9_point1,row9_point2,row9_point3,row9_point4,row9_point5,row9_point6,row9_point7,row9_point8,row9_point9,row9_point10,row9_point11,row10_point1,row10_point2,row10_point3,row10_point4,row10_point5,row10_point6,row10_point7,row10_point8,row10_point9,row10_point10,row10_point11,row11_point1,row11_point2,row11_point3,row11_point4,row11_point5,row11_point6,row11_point7,row11_point8,row11_point9,row11_point10,row11_point11
184.0,11.977942,13.79588,24.564039,6.5188342,8.6549823,21.038538,12.663731,4.5630993,23.769987,9.5403837,15.366467,10.572649,5.5556495,5.5880852,47.518868,24.37844,6.5141842,16.930938,5.560295,8.7446505,9.0890422,14.062814,6.0103207,11.678583,6.8792939,12.716118,20.828311,2.6733236,17.448209,4.1993991,5.5755067,42.921788,144.87994,7.0691727,53.430543,13.334448,7.8726619,4.1016815,16.446995,7.10749,8.4833517,28.00806,12.734082,11.79061,9.2799709,30.752163,22.412748,83.710383,12.908198,13.525276,8.9519749,13.283391,18.010627,10.981322,9.2032398,9.6311925,17.851261,7.1580572,18.794737,13.057746,7.1422011,6.8325959,7.0368432,8.3519017,4.2041207,10.454732,11.21927,8.6940587,6.9198335,15.129151,5.1954293,13.243076,7.9397043,2.1661997,33.560353,27.475913,11.292592,4.7602707,8.123658,3.9909704,3.3956299,11.712898,4.331076,7.9609875,19.023113,8.0418347,13.481964,45.382512,11.718837,13.362456,13.055748,8.5720467,32.669231,12.533814,4.3280769,23.110149,5.8283197,10.438144,18.734303,15.818508,13.69442,4.282484,11.108788,3.1274854,92.44742,18.292869,6.739164,5.249555,9.7837871,13.625258,3.2029861,11.505854,14.530693,10.237762,21.346143,7.9063236,21.652784,14.143768,19.417584,91.724807,5.5487065
185.0,12.903638,13.703474,25.398514,9.5501344,11.677319,16.896498,13.116098,5.8041186,22.642953,8.9035165,15.587615,10.805083,7.0213663,5.0092997,40.717253,22.171259,6.4553454,17.792357,6.1573014,9.5157909,8.5742318,13.967359,7.5304101,12.49257,6.9351837,11.59034,18.533706,2.5209643,21.700481,4.182952,4.5123614,46.754219,144.92783,7.0215315,50.809144,14.749308,6.1935722,4.6425191,16.326757,5.5334746,8.3901879,30.609488,11.421598,7.8913731,8.594299,37.319977,23.283942,81.922677,11.911331,13.785847,7.7590735,14.004713,18.439397,12.151784,8.7992204,10.080126,20.289355,8.7650186,19.745869,12.549671,6.678428,7.1874251,10.318661,7.2384722,3.2777542,9.4727107,12.990455,9.1710362,5.6139748,17.281035,4.4508404,13.494172,7.2463364,2.8751722,33.271143,23.583215,13.293478,5.1652341,8.9539838,3.4519738,2.7922912,12.314038,3.5340703,8.4631338,16.28906,9.3435236,14.259553,47.718891,11.782242,15.313374,13.227874,8.1468246,32.913506,12.64197,6.3677359,21.45483,6.501674,11.015355,17.61445,15.547202,14.606882,7.1474652,12.399077,4.8756196,93.720763,16.755211,7.4714433,4.0547766,9.696424,14.79179,4.9330238,10.663801,14.180401,10.864942,19.723728,10.019642,23.616328,17.889618,19.370846,90.870344,5.3464412
186.0,13.022181,13.52196,25.813691,10.147634,12.41018,15.605156,12.970261,6.0238415,22.187466,8.8158849,15.581592,10.70716,7.4695711,4.9464491,38.696151,21.283843,6.3118546,18.128099,6.2188557,9.7306817,8.5330924,13.815166,7.9242234,12.429897,6.8704979,11.046487,17.904337,2.6108023,22.519706,3.955626,4.2383836,47.786009,144.51475,7.0248983,49.970305,14.929347,5.7471617,4.888077,16.341858,4.9910219,8.1551933,31.034313,10.93942,6.5974152,8.2664251,36.56874,23.37504,81.130565,11.438815,13.688994,7.3916158,14.162946,18.671707,12.452408,8.6142196,10.066685,20.563766,8.8699267,20.024133,12.191917,6.6146295,7.2490833,11.298449,6.6869937,3.0370403,9.1126825,13.411269,9.2173682,5.0973161,17.724355,4.219493,13.447209,6.9436767,3.1891968,32.69593,22.455849,13.612379,5.309857,9.1181621,3.3139132,2.5488048,12.218001,3.4687181,8.4436256,15.383823,9.5829207,14.222789,47.282009,11.537546,15.579403,13.096471,8.0845346,32.606974,12.390942,7.0137039,20.667071,6.830291,10.963416,16.833451,15.508848,14.676307,8.1026176,12.758885,5.5307849,93.994741,15.976432,7.5894847,3.7788165,9.6421672,14.918569,5.257845,10.294041,14.092665,11.135437,19.089159,10.693783,23.921602,18.683708,19.249165,90.861125,5.2271062
187.0,12.646595,13.195729,26.938186,10.144902,13.511824,14.76429,12.390567,5.8473812,20.855562,9.2429476,15.594513,10.169835,8.2176026,5.0410066,35.76702,20.602855,6.1749879,18.308855,6.4270117,9.908219,8.5337904,13.534357,8.2939847,12.122863,7.1690711,10.217545,17.662633,2.7551737,22.683192,3.5784188,4.1873307,48.945491,143.77383,7.0896863,49.55231,14.811184,5.5736742,5.4704946,16.511078,4.4999838,7.7233494,31.045888,10.064339,5.6652036,8.2301804,37.127493,23.58569,79.62984,10.963359,13.527709,7.4307366,14.207808,18.973286,12.773629,8.0823757,9.9068665,20.384147,8.533265,20.567335,11.596193,6.3496122,7.4679305,11.940457,5.8978937,2.8512375,9.0440683,14.138915,9.3405398,4.5354973,17.952456,3.9130182,13.375431,6.6893803,3.7544239,31.723875,20.034896,13.401472,5.6414571,9.2538677,3.3787162,2.1750899,12.046988,4.0388141,8.1265284,14.326155,9.6214473,14.171186,46.79402,11.046738,15.558621,12.507666,8.4702466,31.70888,12.114746,7.9978869,19.277493,7.5336472,10.915988,15.993023,15.711681,14.724223,8.6178624,13.244406,6.2116729,94.125866,15.515667,7.4521635,3.7989541,9.4838324,15.12923,5.2862547,9.5103304,14.195345,11.81823,18.161097,11.284741,23.884462,18.833665,19.254515,91.470588,4.8413398
188.0,11.08652,12.556653,29.521095,8.553948,15.083337,15.352425,10.862662,4.6883877,17.690963,10.821284,15.601682,8.6463731,9.436555,5.4969046,31.470108,20.641217,6.088782,17.967409,6.9154594,9.910307,8.6424651,12.978869,8.4555374,11.258886,8.2764444,8.9087687,18.45211,2.9623899,20.982262,2.943479,4.7157968,50.02179,142.31084,7.2835979,50.306397,13.910565,6.1995837,6.6943615,16.980041,4.3225964,6.9161711,29.874537,8.445184,6.0023437,8.9080677,39.598506,23.959439,76.742479,10.629665,13.239122,8.4685571,13.927167,19.315004,12.993314,6.8233311,9.4052788,18.997932,7.1136491,21.601374,10.587711,5.6263506,7.9965984,11.462392,4.744288,2.8688354,9.7161206,15.382889,9.5653656,4.0327653,17.467689,3.5184918,13.233748,6.6250633,4.7454387,30.034266,15.082275,11.796785,6.3339285,9.2291519,3.9308777,1.5891096,11.68039,6.0340947,7.1154563,13.199896,9.0480338,14.048949,46.089537,10.075871,14.733279,10.921676,9.865621,29.532805,11.790908,9.4533814,16.779687,8.9274726,10.827128,15.254123,16.429162,14.662568,7.7691551,13.832825,6.6909037,93.793479,15.94439,6.6783114,4.5721648,9.0891869,15.39256,4.5074943,7.91428,14.660162,13.337211,16.760005,11.415963,22.920739,17.164942,19.549975,93.453007,3.8785981
189.0,10.200151,12.201283,30.544303,7.4142764,15.131696,16.183579,10.150593,3.9885605,16.378668,11.496969,15.457113,7.8872415,9.6384554,5.6990919,30.394888,20.945876,6.0782301,17.467589,7.0287777,9.7519238,8.7110921,12.681251,8.2787798,10.804395,8.7374134,8.4910165,18.968697,2.929919,19.442914,2.7628,5.0516896,49.97276,141.45211,7.3491731,50.887398,13.248381,6.8095606,7.0499264,17.067891,4.5428491,6.6156685,28.788739,7.8491962,6.836523,9.2297633,37.289725,23.861347,75.585506,10.664001,13.104205,9.0100516,13.668354,19.25195,12.813543,6.2938231,9.1237301,17.942251,6.2432348,21.91654,10.289978,5.2383371,8.1458915,10.684323,4.4211404,2.9886839,10.094258,15.665495,9.4866372,4.0048403,16.794164,3.4530189,13.098747,6.6780668,4.9603867,29.459277,13.291057,10.608068,6.557192,9.0171011,4.2103599,1.4278032,11.376617,6.9214146,6.5573713,13.011693,8.4315464,13.85707,45.207086,9.7098061,14.010197,10.202089,10.490529,28.508079,11.537903,9.6159775,15.921461,9.2984358,10.604862,15.195772,16.660304,14.485627,6.7598964,13.760523,6.4903017,93.352359,16.249392,6.1912948,5.0489586,8.8691131,15.173173,3.8974728,7.3255811,14.638722,13.915823,16.324738,11.016707,22.164141,15.695449,19.636627,94.354341,3.4314275
190.0,9.0095657,11.681745,32.599197,6.0391735,15.359859,16.376941,9.641789,3.3941748,14.900696,12.097243,14.460189,6.7802701,9.893216,6.3367566,27.657152,21.639316,5.9265653,16.632262,7.1150847,9.4221985,9.0707375,11.786991,8.0245469,10.62192,8.7650348,7.6762738,19.815866,2.9405439,17.607043,3.2079507,5.4895417,50.625261,140.25705,7.6442065,51.409328,12.797607,8.6967111,7.3827671,17.151263,5.1847593,6.2476358,27.588048,6.6516587,7.8966047,9.308779,36.827132,23.673119,74.209055,10.733407,12.942124,9.2110295,13.881465,19.146129,12.160176,5.6970599,8.7471261,15.967796,5.4244457,22.194728,9.9255467,4.5338687,8.4195713,9.6762926,4.0892009,3.3785362,10.338238,15.995116,9.395601,3.9535166,15.705643,3.7226757,12.898418,6.6265681,5.1764021,28.507982,11.063465,9.2450171,7.2033358,8.5675732,4.5019026,1.6613108,11.545984,7.9061467,5.7021901,12.409068,7.6621863,14.363069,44.732041,9.162994,13.539579,9.4250012,11.267123,27.193427,11.135107,9.2719286,15.078662,9.5092749,10.406296,14.995829,16.704084,13.890258,5.660593,13.410667,6.6833141,95.229612,16.248384,5.7923049,5.8397954,8.3719274,15.269242,3.2356773,6.7521925,13.866406,14.870874,15.345133,10.666865,21.512074,14.339734,19.63327,95.131415,2.8127047
191.0,7.9775111,11.083007,35.27811,5.0668287,15.594091,15.093738,9.825907,3.3849928,14.072615,12.078391,12.378193,5.6564399,10.040766,7.3820437,23.397503,22.473121,5.5599368,15.59468,7.0231211,8.9440467,9.7412536,10.25704,7.7554489,11.073308,7.8567824,6.5667571,20.626304,2.9722548,16.263578,4.576982,5.7925881,52.184824,138.97982,8.1604178,51.307814,12.977685,11.852514,7.4014413,17.080672,6.2415587,5.9446408,26.736819,5.0057154,8.6418505,8.7534815,37.79174,23.271442,73.18038,10.795064,12.778485,8.5015132,14.839215,18.995691,10.943347,5.339008,8.3887656,13.382875,5.166725,22.171178,9.6645767,3.626337,8.6937356,8.8827654,3.9077333,4.0199762,10.059023,16.180924,9.2662862,3.8259364,14.407804,4.448133,12.627411,6.3486375,5.1976869,27.410062,9.4182381,8.273017,8.2334772,7.8759044,4.5436977,2.495573,12.424734,8.3623594,4.7739564,11.289482,6.9775974,15.793545,44.912326,8.5921171,13.764784,9.0427296,11.757537,26.082896,10.577764,8.0501016,14.74985,9.194872,10.243552,14.528586,16.248609,12.809939,5.0633405,12.65216,7.5023972,100.28075,15.390311,5.8011712,6.7058294,7.6277937,15.75402,2.8837215,6.5748096,11.960785,15.870203,13.886427,10.577766,21.409827,14.026632,19.36837,95.023673,2.2308114
192.0,8.0098371,10.808604,36.118676,5.3452603,15.35093,13.28438,10.515694,3.9824117,14.682036,11.320786,10.947847,5.4476739,9.8825364,7.8708255,21.312254,22.467513,5.2470121,15.156739,6.7324714,8.7031103,10.09773,9.3718884,7.6730177,11.75691,6.6947645,6.0821765,20.488458,2.920191,16.467778,5.6613508,5.6145232,53.231891,138.48731,8.3930894,50.415563,13.546798,13.487045,7.0026569,16.787813,6.7898793,5.923643,26.727371,4.3036154,8.2963783,7.8894608,35.949766,22.786464,73.274149,10.749224,12.685558,7.3249059,15.655233,18.892791,10.148709,5.5266789,8.3145645,12.353461,5.6271204,21.786779,9.7409549,3.2657802,8.632157,9.0393144,3.9799622,4.3147413,9.3452351,16.019074,9.1135258,3.6459127,13.914398,4.9618661,12.424829,6.0086434,4.9195165,27.10572,9.8395406,8.3678996,8.705341,7.4578011,4.1727101,3.177986,13.104812,7.7495489,4.5377416,10.502804,6.8372332,16.744104,44.983311,8.4729262,14.367316,9.4170938,11.40098,26.067688,10.192024,6.8621544,15.161123,8.5129096,10.071796,14.0366,15.538591,12.12156,5.4752202,12.021261,8.2121782,103.89661,14.052569,6.1930563,6.837348,7.25686,15.976823,3.1448877,6.9595533,10.360779,15.91745,13.169202,10.751261,21.863058,14.993681,18.948312,93.915778,2.169192
193.0,7.97474,10.679358,38.220764,6.346014,15.513865,10.372576,11.540983,4.9419919,14.895877,10.148989,8.7027206,5.6042797,8.8961075,8.2734563,17.832986,23.022879,4.9554098,14.961489,6.713745,8.5813441,10.802438,7.9346679,7.8954631,12.103763,5.1325321,5.3019486,19.913315,3.0430223,16.624084,7.0612232,5.2799412,55.741046,137.37825,9.0535595,49.230266,14.487377,15.896796,6.3249129,16.685108,7.0127707,6.2523605,27.908995,3.5031404,7.88228,6.4843327,37.293303,22.650148,73.323282,10.243962,13.059571,5.8953881,17.081617,18.160564,9.134005,5.928158,8.5182167,10.597452,6.3052832,21.88992,9.7067153,2.8805477,8.9458488,9.5898394,4.0234562,4.750692,8.5105081,15.217636,8.4558054,3.6152118,13.456445,5.9752,12.528298,5.5479876,4.6704616,26.29616,10.441202,9.314134,9.3216051,7.1591197,4.5250459,4.1573403,13.944296,6.9376726,4.3988395,9.4698279,6.8169799,18.320624,44.804601,8.5046747,15.326012,9.6313293,11.310689,26.185717,9.3161461,5.6720498,15.798082,7.7652439,10.247306,14.056698,15.002022,11.113076,6.5192907,11.407278,8.8179787,109.98694,13.243254,6.7593646,6.6125498,6.643797,16.373593,3.4709555,7.2624199,8.1604338,17.285739,11.848112,11.480173,22.952678,15.288856,18.685862,94.046365,2.1898144
