WavwNum_Anatase,value_Anatase
100.0,0.0
119.7566,0.0
120.2387,228.5371
120.7209,27.95508
121.203,84.98828
121.6851,75.19824
122.1672,416.7856
122.6493,939.0723
123.1314,1641.233
123.6136,2498.993
124.0957,3491.407
124.5778,4623.5
125.0599,5870.409
125.542,7200.597
126.0241,8615.779
126.5063,10094.69
126.9884,11654.37
127.4705,13268.26
127.9526,14872.3
128.4347,16449.38
128.9168,17997.68
129.399,19482.3
129.8811,20898.31
130.3632,22281.76
130.8453,23677.77
131.3274,25074.07
131.8095,26478.0
132.2917,27884.19
132.7738,29297.27
133.2559,30732.95
133.738,32190.56
134.2201,33683.39
134.7022,35259.81
135.1843,36928.64
135.6665,38648.47
136.1486,40381.45
136.6307,42110.78
137.1128,43886.62
137.5949,45709.05
138.077,47575.27
138.5592,49575.85
139.0413,51741.28
139.5234,54020.21
140.0055,56307.27
140.4876,58615.44
140.9697,60939.81
141.4519,63299.48
141.934,65792.14
142.4161,68062.16
142.8982,70237.23
143.3803,72186.18
143.8624,73441.28
144.3446,74030.61
144.8267,73702.2
145.3088,72014.01
145.7909,69426.31
146.273,66358.56
146.7551,62802.36
147.2373,58725.87
147.7194,54639.0
148.2015,50405.07
148.6836,46228.76
149.1657,42213.54
149.6478,38237.12
150.13,34557.14
150.6121,31227.02
151.0942,28299.5
151.5763,25584.71
152.0584,23079.3
152.5405,20798.88
153.0227,18720.34
153.5048,16874.43
153.9869,15207.63
154.469,13702.67
154.9511,12402.21
155.4332,11199.41
155.9154,10064.19
156.3975,9009.978
156.8796,8061.562
157.3617,7247.131
157.8438,6517.854
158.3259,5860.161
158.808,5276.73
159.2902,4747.025
159.7723,4271.953
160.2544,3852.442
160.7365,3463.502
161.2186,3106.197
161.7007,2778.894
162.1829,2476.612
162.665,2197.984
163.1471,1945.737
163.6292,1721.602
164.1113,1527.143
164.5934,1350.318
165.0756,1187.572
165.5577,1038.039
166.0398,898.9014
166.5219,767.0994
167.004,648.4336
167.4861,549.0093
167.9683,480.2322
168.4504,411.6646
168.9325,317.6091
169.4146,206.1521
169.8967,105.7996
170.3788,36.55713
170.861,13.12329
171.3431,54.59863
171.8252,82.55151
172.3073,112.1982
172.7894,158.8206
173.2715,221.4956
173.7537,281.7803
174.2358,328.1252
174.7179,362.803
175.2,389.8545
175.6821,404.5288
176.1642,416.3311
176.6464,438.5935
177.1285,472.4082
177.6106,508.9041
178.0927,530.9266
178.5748,537.7517
179.0569,531.114
179.539,511.4449
180.0212,483.1608
180.5033,448.983
180.9854,407.1682
181.4675,366.6556
181.9496,341.9978
182.4317,331.1628
182.9139,319.0588
183.396,294.3335
183.8781,261.416
184.3602,232.2463
184.8423,211.4355
185.3244,192.965
185.8066,165.8295
186.2887,130.0496
186.7708,92.63245
187.2529,59.16296
187.735,29.1167
188.2171,0.439575
188.6993,29.36768
189.1814,58.55457
189.6635,89.05127
190.1456,120.2482
190.6277,156.3285
191.1098,204.2308
191.592,263.0573
192.0741,321.8954
192.5562,372.035
193.0383,416.8295
193.5204,478.0808
194.0025,557.3553
194.4847,649.2339
194.9668,748.3148
195.4489,854.8226
195.931,963.1656
196.4131,1079.542
196.8952,1202.083
197.3774,1297.667
197.8595,1367.355
198.3416,1404.577
198.8237,1387.545
199.3058,1312.15
199.7879,1215.818
200.2701,1117.738
200.7522,1017.359
201.2343,924.8266
201.7164,840.4254
202.1985,765.1048
202.6806,701.9518
203.1628,652.4407
203.6449,613.5363
204.127,586.0512
204.6091,571.198
205.0912,558.1902
205.5733,543.8679
206.0555,529.1508
206.5376,522.9424
207.0197,527.3258
207.5018,535.848
207.9839,541.2636
208.466,542.5673
208.9482,545.3238
209.4303,551.7777
209.9124,562.0621
210.3945,570.7146
210.8766,576.8271
211.3587,582.6009
211.8409,591.4487
212.323,604.8522
212.8051,617.1122
213.2872,625.1432
213.7693,627.152
214.2514,635.5806
214.7336,653.0337
215.2157,674.9835
215.6978,692.2582
216.1799,703.8229
216.662,713.1165
217.1441,721.0842
217.6263,726.8672
218.1084,734.4731
218.5905,744.4983
219.0726,756.2401
219.5547,767.8486
220.0368,780.1219
220.519,790.7514
221.0011,797.755
221.4832,798.7823
221.9653,802.153
222.4474,808.4175
222.9295,817.4953
223.4117,829.3188
223.8938,846.6525
224.3759,862.901
224.858,872.3268
225.3401,869.8635
225.8222,872.2117
226.3043,883.19
226.7865,902.2903
227.2686,918.7278
227.7507,931.7781
228.2328,942.442
228.7149,950.5269
229.197,957.2386
229.6792,960.041
230.1613,956.8367
230.6434,945.9956
231.1255,934.5858
231.6076,923.4827
232.0897,912.3422
232.5719,901.2095
233.054,893.5985
233.5361,881.8586
234.0182,863.3917
234.5003,836.1741
234.9824,808.1875
235.4646,780.7057
235.9467,752.4823
236.4288,720.7372
236.9109,683.42
237.393,648.4883
237.8751,618.9046
238.3573,596.3568
238.8394,575.7296
239.3215,556.8556
239.8036,538.7914
240.2857,520.7556
240.7678,502.4829
241.25,485.5544
241.7321,471.4134
242.2142,462.7981
242.6963,448.7636
243.1784,424.8869
243.6605,396.8261
244.1427,379.3
244.6248,377.5637
245.1069,378.9832
245.589,377.5929
246.0711,372.0194
246.5532,366.2663
247.0353,359.5727
247.5175,352.527
247.9996,347.9061
248.4817,347.1714
248.9638,347.3704
249.4459,346.3828
249.928,341.4597
250.4102,339.9752
250.8923,342.9763
251.3744,349.8558
251.8565,356.5827
252.3386,363.4973
252.8207,369.7595
253.3029,374.6342
253.785,378.1272
254.2671,380.0301
254.7492,379.0231
255.2313,375.6828
255.7134,377.3067
256.1956,387.3289
256.6777,398.0133
257.1598,402.7936
257.6419,398.3594
258.124,395.3334
258.6061,395.2794
259.0883,398.0023
259.5704,402.2152
260.0525,410.4942
260.5346,416.8175
261.0167,414.1614
261.4988,396.9676
261.981,384.5039
262.4631,382.8374
262.9452,392.2077
263.4273,394.8814
263.9094,388.7882
264.3915,378.8919
264.8737,370.1676
265.3558,362.6061
265.8379,356.7419
266.32,354.0123
266.8021,354.8519
267.2842,348.9976
267.7664,332.8833
268.2485,314.9664
268.7306,306.199
269.2127,309.9916
269.6948,313.0255
270.1769,311.6326
270.6591,305.2779
271.1412,297.49
271.6233,287.1897
272.1054,276.9504
272.5875,270.7006
273.0696,269.7139
273.5518,268.2504
274.0339,264.2761
274.516,257.4147
274.9981,249.6083
275.4802,240.2129
275.9623,231.1135
276.4445,225.3619
276.9266,223.5206
277.4087,221.9223
277.8908,219.1195
278.3729,214.9792
278.855,211.4761
279.3372,208.9715
279.8193,207.2053
280.3014,205.6597
280.7835,204.1712
281.2656,199.4805
281.7477,188.7286
282.2298,172.1337
282.7119,160.7653
283.1941,154.8277
283.6762,152.8253
284.1583,154.231
284.6404,159.6078
285.1225,162.9156
285.6046,159.5039
286.0868,149.8866
286.5689,144.433
287.051,144.4295
287.5331,146.5309
288.0152,145.4634
288.4973,141.1662
288.9795,135.7172
289.4616,129.043
289.9437,121.643
290.4258,117.3277
290.9079,117.0039
291.39,117.9425
291.8722,116.0365
292.3543,111.3459
292.8364,105.6905
293.3185,98.92862
293.8006,91.78424
294.2827,87.04529
294.7649,84.99533
295.247,84.98654
295.7291,86.92764
296.2112,90.65866
296.6933,94.1676
297.1754,97.21899
297.6576,99.34805
298.1397,99.59674
298.6218,98.04266
299.1039,93.92059
299.586,82.79651
300.0681,66.84827
300.5503,55.56863
301.0324,57.92026
301.5145,67.89148
301.9966,74.83551
302.4787,77.91537
302.9608,77.86652
303.443,73.06375
303.9251,65.09149
304.4072,59.29175
304.8893,60.01947
305.3714,64.07819
305.8535,68.05255
306.3357,72.19568
306.8178,73.59909
307.2999,66.73685
307.782,54.47888
308.2641,44.423
308.7462,41.72195
309.2284,42.71069
309.7105,43.77216
310.1926,44.43774
310.6747,45.34253
311.1568,47.90393
311.6389,51.05804
312.1211,52.51477
312.6032,49.42719
313.0853,45.21301
313.5674,42.89227
314.0495,43.46033
314.5316,43.57007
315.0138,40.55927
315.4959,35.7229
315.978,31.47137
316.4601,29.14679
316.9422,27.55353
317.4243,25.54932
317.9065,22.44244
318.3886,21.38397
318.8707,27.53076
319.3528,35.92047
319.8349,38.87164
320.317,28.60809
320.7992,16.59027
321.2813,7.458069
321.7634,1.830078
322.2455,1.34436
322.7276,0.728699
323.2097,1.817932
323.6919,3.710693
324.174,3.780701
324.6561,3.609924
325.1382,4.164734
325.6203,6.203125
326.1024,5.827209
326.5845,1.64978
327.0667,10.47675
327.5488,13.5697
328.0309,0.064879999
328.513,9.626099
328.9951,8.710022
329.4772,6.123962
329.9594,18.04449
330.4415,26.88416
330.9236,32.7674
331.4057,35.66162
331.8878,32.20502
332.3699,29.98383
332.8521,31.05945
333.3342,36.11169
333.8163,39.36401
334.2984,40.11816
334.7805,39.62146
335.2626,38.76855
335.7448,35.70374
336.2269,36.16388
336.709,44.0755
337.1911,59.6131
337.6732,62.7746
338.1553,47.14423
338.6375,27.92798
339.1196,20.67401
339.6017,29.56403
340.0838,36.6153
340.5659,37.63861
341.048,33.40448
341.5302,30.6972
342.0123,30.15442
342.4944,29.43182
