WavwNum_Armalcolite,value_Armalcolite
100.0,0.0
196.0757,0.0
196.5579,0.021584
197.04,0.073256999
197.5221,0.585869
198.0042,1.550812
198.4863,2.73024
198.9684,4.075577
199.4506,5.016411
199.9327,5.242142
200.4148,5.311325
200.8969,6.609558
201.379,9.339508
201.8611,12.21487
202.3433,14.63575
202.8254,16.61882
203.3075,17.86259
203.7896,18.07307
204.2717,17.74995
204.7538,18.22891
205.236,19.67605
205.7181,21.28191
206.2002,22.6274
206.6823,23.71388
207.1644,24.53468
207.6465,25.1404
208.1287,25.45201
208.6108,25.11722
209.0929,23.90748
209.575,22.67088
210.0571,22.07587
210.5392,22.37225
211.0214,22.05459
211.5035,20.76109
211.9856,18.84843
212.4677,17.61857
212.9498,17.41851
213.4319,17.12497
213.914,15.91589
214.3962,13.41698
214.8783,11.33627
215.3604,9.836304
215.8425,8.859764
216.3246,8.34481
216.8067,8.537842
217.2889,8.703888
217.771,8.323555
218.2531,7.127594
218.7352,6.157982
219.2173,5.460091
219.6994,5.050774
220.1816,5.123383
220.6637,5.9515
221.1458,6.750488
221.6279,6.994759
222.11,6.462601
222.5921,5.938919
223.0743,5.365456
223.5564,4.835732
224.0385,4.863747
224.5206,5.869812
225.0027,6.784477
225.4848,6.838387
225.967,5.455704
226.4491,4.640358
226.9312,4.713371
227.4133,5.485298
227.8954,6.054428
228.3775,6.406021
228.8597,6.571968
229.3418,6.568283
229.8239,6.397461
230.306,6.027748
230.7881,5.299904
231.2702,4.348183
231.7524,3.842781
232.2345,3.805168
232.7166,4.181244
233.1987,5.055138
233.6808,6.921638
234.1629,8.160378
234.6451,8.473755
235.1272,8.069763
235.6093,7.850922
236.0914,7.781296
236.5735,7.924576
237.0556,8.343765
237.5378,9.151459
238.0199,10.02753
238.502,11.03902
238.9841,12.07102
239.4662,13.01475
239.9483,13.51167
240.4305,13.8018
240.9126,14.10426
241.3947,14.53081
241.8768,15.13078
242.3589,15.66029
242.841,16.10435
243.3232,16.94196
243.8053,18.31477
244.2874,19.79491
244.7695,21.18987
245.2516,22.6938
245.7337,23.97748
246.2159,25.02046
246.698,25.85234
247.1801,26.5535
247.6622,27.17778
248.1443,27.69971
248.6264,28.10639
249.1086,28.39063
249.5907,28.37441
250.0728,28.00415
250.5549,27.50131
251.037,27.46605
251.5191,28.22354
252.0013,28.93138
252.4834,29.20045
252.9655,28.85487
253.4476,28.52815
253.9297,28.20213
254.4118,27.88525
254.894,27.55249
255.3761,27.20452
255.8582,26.82773
256.3403,26.47406
256.8224,26.28466
257.3046,25.60123
257.7867,24.17924
258.2688,22.42329
258.7509,21.13717
259.233,20.47314
259.7151,19.99335
260.1973,19.57797
260.6794,19.28987
261.1615,18.8288
261.6436,18.1757
262.1257,17.37691
262.6078,16.45529
263.09,15.28889
263.5721,14.32285
264.0542,13.77386
264.5363,13.71019
265.0184,13.58884
265.5005,13.46
265.9827,13.21677
266.4648,12.66944
266.9469,11.74834
267.429,10.7317
267.9111,9.615891
268.3932,8.380966
268.8754,7.526215
269.3575,7.21212
269.8396,7.027901
270.3217,6.387009
270.8038,5.123283
271.2859,4.045204
271.7681,3.379929
272.2502,3.120567
272.7323,3.137817
273.2144,3.602783
273.6965,4.000275
274.1786,3.558937
274.6608,2.005424
275.1429,1.120438
275.625,1.62075
276.1071,3.240456
276.5892,3.873734
277.0714,3.29789
277.5535,2.350296
278.0356,1.830147
278.5177,1.790184
278.9998,1.597786
279.4819,1.022987
