WavwNum_Chamosite,value_Chamosite
100.0,0.0
150.5283,0.0
151.0105,1.375589
151.4926,1.063826
151.9747,1.320155
152.4568,1.419971
152.9389,1.368842
153.421,0.628014
153.9032,0.772502
154.3853,0.657152
154.8674,0.411291
155.3495,0.830372
155.8316,0.155219
156.3138,0.419276
156.7959,0.300066
157.278,0.352216
157.7601,0.048452999
158.2422,0.139832
158.7243,0.036191002
159.2065,0.015897
159.6886,0.315137
160.1707,0.337077
160.6528,0.48559
161.1349,0.15987
161.617,0.077964999
162.0992,0.036786001
162.5813,0.161335
163.0634,0.446229
163.5455,0.873682
164.0276,1.284539
164.5097,1.620973
164.9919,1.885496
165.474,2.08761
165.9561,2.201773
166.4382,2.269907
166.9203,2.298263
167.4025,1.773026
167.8846,1.732279
168.3667,3.230834
168.8488,6.027872
169.3309,8.571118
169.813,9.770913
170.2952,10.22816
170.7773,10.67122
171.2594,11.38491
171.7415,12.15382
172.2236,12.73271
172.7057,13.14769
173.1879,13.69539
173.67,14.61688
174.1521,15.82362
174.6342,17.16089
175.1163,18.60265
175.5984,20.13837
176.0806,21.73641
176.5627,23.39666
177.0448,25.12594
177.5269,26.84026
178.009,28.61016
178.4911,30.65533
178.9733,33.37876
179.4554,36.31352
179.9375,38.62316
180.4196,40.21927
180.9017,41.78842
181.3839,43.98835
181.866,46.73044
182.3481,49.79073
182.8302,53.37722
183.3123,57.16516
183.7944,60.27834
184.2766,62.63542
184.7587,64.80433
185.2408,67.62498
185.7229,70.96521
186.205,74.17724
186.6871,76.68471
187.1693,78.76911
187.6514,81.33827
188.1335,84.52495
188.6156,87.98692
189.0977,91.38231
189.5798,94.69165
190.062,97.84366
190.5441,100.6754
191.0262,103.2732
191.5083,106.2822
191.9904,109.9116
192.4725,113.67
192.9547,116.7699
193.4368,119.2311
193.9189,121.3647
194.401,123.1633
194.8831,124.5361
195.3652,126.299
195.8474,128.8547
196.3295,131.801
196.8116,133.8927
197.2937,135.0062
197.7758,135.7558
198.2579,136.4696
198.7401,137.2075
199.2222,137.8259
199.7043,138.4416
200.1864,138.7551
200.6685,137.9724
201.1507,136.0181
201.6328,133.0205
202.1149,128.9043
202.597,123.61
203.0791,118.8044
203.5612,114.8617
204.0434,111.47
204.5255,107.8673
205.0076,104.0821
205.4897,99.99926
205.9718,95.32515
206.4539,89.83958
206.9361,85.17139
207.4182,81.73828
207.9003,79.10017
208.3824,75.63144
208.8645,70.99095
209.3466,66.3596
209.8288,62.41092
210.3109,59.23623
210.793,56.38044
211.2751,53.94376
211.7572,51.77149
212.2393,49.09308
212.7215,45.66652
213.2036,42.32165
213.6857,39.64716
214.1678,37.83055
214.6499,35.97584
215.1321,33.90021
215.6142,31.70216
216.0963,29.88771
216.5784,28.6113
217.0605,27.44232
217.5426,26.09872
218.0248,24.49292
218.5069,23.06071
218.989,21.95257
219.4711,21.05285
219.9532,19.72383
220.4353,17.6126
220.9175,15.63069
221.3996,14.38974
221.8817,14.21948
222.3638,13.96029
222.8459,13.50392
223.328,12.87418
223.8102,12.24188
224.2923,11.6381
224.7744,10.96664
225.2565,10.14866
225.7386,9.09017
226.2208,8.112844
226.7029,7.248024
227.185,6.485182
227.6671,5.819475
228.1492,5.272942
228.6313,4.79164
229.1135,4.329112
229.5956,3.806319
230.0777,3.479769
230.5598,3.436526
231.0419,3.613758
231.524,3.706462
232.0062,3.727726
232.4883,3.649641
232.9704,3.45001
233.4525,3.1002
233.9346,2.690752
234.4167,2.193135
234.8989,1.637974
235.381,1.182537
235.8631,0.899534
236.3452,0.610762
236.8273,0.179169
237.3095,0.571086
237.7916,0.700102
238.2737,0.450643
238.7558,0.454067
239.2379,0.702422
239.72,0.351809
240.2022,0.29048
240.6843,0.492884
241.1664,0.073161997
241.6485,0.405858
242.1306,0.805772
242.6127,0.152799
243.0949,0.114032
243.577,0.267028
244.0591,0.674486
244.5412,0.780612
245.0233,0.445518
245.5054,0.121384
245.9876,0.220401
246.4697,0.53357
246.9518,0.676986
247.4339,0.605621
247.916,0.431561
248.3981,0.17625
248.8803,0.287576
249.3624,0.506096
249.8445,0.304058
250.3266,0.106626
250.8087,0.117973
251.2909,0.461513
251.773,0.845406
252.2551,0.297428
252.7372,0.20716
253.2193,0.40504
253.7014,0.116485
254.1836,0.401918
254.6657,0.544287
255.1478,0.165302
255.6299,0.337238
256.112,0.857028
256.5941,1.49143
257.0763,1.770945
257.5584,1.459024
258.0405,0.945822
258.5226,1.072138
259.0047,2.149567
259.4868,3.228898
259.969,3.958043
260.4511,4.29325
260.9332,4.459649
261.4153,4.3939
261.8974,4.216906
262.3795,4.128604
262.8617,4.142672
263.3438,4.208402
263.8259,4.296909
264.308,4.393982
264.7901,4.614436
265.2722,4.968286
265.7544,5.431404
266.2365,6.025545
266.7186,6.862604
267.2007,7.469793
267.6829,7.564258
268.165,7.091623
268.6471,7.191864
269.1292,8.088977
269.6113,9.209152
270.0934,9.821067
270.5756,9.818439
271.0577,9.732682
271.5398,9.674088
272.0219,9.644327
272.504,9.741755
272.9861,10.01462
273.4683,10.30762
273.9504,10.42621
274.4325,10.32383
274.9146,10.31061
275.3967,10.51005
275.8788,10.87857
276.361,10.66433
276.8431,11.16445
277.3252,11.45864
277.8073,11.55781
278.2894,10.87786
278.7715,11.20465
279.2537,11.12828
279.7358,11.03543
280.2179,11.50438
280.7,10.93864
281.1821,11.39892
281.6642,11.44966
282.1464,11.68799
282.6285,11.52048
283.1106,11.47863
283.5927,11.843
284.0748,11.58198
284.5569,12.0051
285.0391,12.20978
285.5212,12.20735
286.0033,11.41332
286.4854,11.61368
286.9675,11.39845
287.4496,11.15443
287.9318,11.45971
288.4139,10.71789
288.896,10.98982
289.3781,10.84006
289.8602,10.86572
290.3424,10.47343
290.8245,10.19444
291.3066,10.30917
291.7887,10.18684
292.2708,9.573204
292.753,9.28563
293.2351,8.885448
293.7172,8.424609
294.1993,8.111459
294.6814,7.983323
295.1635,7.813063
295.6457,7.314267
296.1278,6.59411
296.6099,5.98091
297.092,5.718503
297.5741,5.701688
298.0562,5.593168
298.5384,5.34892
299.0205,5.125356
299.5026,5.029267
299.9847,4.897621
300.4668,4.930176
300.9489,4.888366
301.4311,4.776178
301.9132,4.382908
302.3953,4.352628
302.8774,4.176872
303.3595,3.99516
303.8416,4.015957
304.3238,3.663554
304.8059,3.681139
305.288,3.551047
305.7701,3.488538
306.2522,3.279673
306.7343,3.116007
307.2165,3.098734
307.6986,3.000408
308.1807,2.497868
308.6628,2.487255
309.1449,2.556506
309.627,2.555072
310.1092,2.515361
310.5913,2.440289
311.0734,2.203538
311.5555,1.975015
312.0376,1.509164
312.5197,1.929449
313.0019,2.170438
313.484,2.230127
313.9661,1.511654
314.4482,1.801075
314.9304,1.688448
315.4125,1.560629
315.8946,1.99576
316.3767,1.397382
316.8588,1.826312
317.3409,1.847056
317.8231,2.05661
318.3052,1.861648
318.7873,1.793386
319.2694,2.132502
319.7515,2.248186
320.2336,2.011931
320.7158,2.241548
321.1979,1.642586
321.68,1.773267
322.1621,2.219524
322.6442,2.010472
323.1263,2.25432
323.6085,2.327531
324.0906,1.620603
324.5727,2.274158
325.0548,2.341276
325.5369,1.80626
326.019,2.417303
326.5012,1.968192
326.9833,1.899348
327.4654,2.117101
327.9475,2.039042
328.4296,2.431046
328.9117,2.37302
329.3939,2.291015
329.876,2.397218
330.3581,2.017571
330.8402,2.569522
331.3223,2.517072
331.8044,2.746146
332.2866,3.013266
332.7687,2.736365
333.2508,3.097281
333.7329,2.54495
334.215,2.742662
334.6971,2.874383
335.1793,3.45259
335.6614,2.951247
336.1435,3.132812
336.6256,3.623888
337.1077,3.65924
337.5899,3.266823
338.072,3.413453
338.5541,3.615496
339.0362,3.929912
339.5183,4.302891
340.0005,4.541594
340.4826,4.709655
340.9647,5.068168
341.4468,5.780071
341.9289,6.699281
342.411,6.960164
342.8932,6.524527
343.3753,6.114903
343.8574,6.394742
344.3395,7.300425
344.8216,7.976451
345.3037,8.313442
345.7859,8.448856
346.268,8.571715
346.7501,8.704182
347.2322,8.899837
347.7143,9.27265
348.1964,9.708203
348.6786,9.865334
349.1607,9.719094
349.6428,9.647392
350.1249,10.10272
350.607,10.95675
351.0891,11.77431
351.5713,12.39518
352.0534,12.82003
352.5355,13.0039
353.0176,12.98521
353.4997,12.97892
353.9818,13.08264
354.464,13.26166
354.9461,13.45186
355.4282,13.61438
355.9103,13.80596
356.3924,14.14602
356.8745,14.57607
357.3567,14.8576
357.8388,14.81128
358.3209,14.58847
358.803,14.27655
359.2851,13.81911
359.7672,13.48288
360.2494,13.47963
360.7315,13.69189
361.2136,13.91631
361.6957,14.28376
362.1779,14.43403
362.66,14.0649
363.1421,13.06813
363.6242,12.24438
364.1063,11.92688
364.5884,11.8591
365.0706,11.78156
365.5527,11.85134
366.0348,11.68736
366.5169,11.08935
366.999,10.0868
367.4811,9.199195
367.9633,8.438161
368.4454,7.826921
368.9275,7.388743
369.4096,7.318058
369.8917,7.153051
370.3738,6.869086
370.856,6.484988
371.3381,6.04969
371.8202,5.469452
372.3023,4.960778
372.7844,4.645803
373.2665,4.616182
373.7487,4.378684
374.2308,3.762722
374.7129,2.885327
375.195,2.962383
375.6771,2.923966
376.1592,2.776665
376.6414,2.171611
377.1235,2.175075
377.6056,1.945348
378.0877,1.713342
378.5698,1.824209
379.0519,1.324894
379.5341,1.445631
380.0162,1.329509
380.4983,1.332896
380.9804,1.101585
381.4625,0.9527256
381.9446,1.05384
382.4268,1.028346
382.9089,0.799571
383.391,0.8557088
383.8731,0.4239993
384.3553,0.4346533
384.8374,0.6405029
385.3195,0.4619485
385.8016,0.5605464
386.2837,0.5640938
386.7658,0.1087042
387.248,0.460019
387.7301,0.641347
388.2122,0.582638
388.6943,0.408579
389.1764,0.579471
389.6585,0.093973003
390.1407,0.263349
390.6228,0.291454
391.1049,0.439325
391.587,0.136561
