WavwNum_Chromite,value_Chromite
100.0,0.0
226.1141,0.0
226.5962,1.493896
227.0783,2.009521
227.5604,2.329163
228.0425,1.429382
228.5247,0.318848
229.0068,0.093445003
229.4889,1.007813
229.971,2.890564
230.4531,3.49292
230.9352,2.068115
231.4174,0.487061
231.8995,0.224182
232.3816,0.949341
232.8637,1.819763
233.3458,2.642761
233.8279,3.320923
234.3101,3.450012
234.7922,2.648376
235.2743,1.926636
235.7564,1.825989
236.2385,2.205933
236.7206,2.820801
237.2028,3.77594
237.6849,4.871948
238.167,5.199646
238.6491,4.456726
239.1312,3.438232
239.6133,2.734619
240.0955,2.359802
240.5776,2.481323
241.0597,2.455139
241.5418,2.603394
242.0239,2.865601
242.506,3.420593
242.9882,3.822327
243.4703,3.984497
243.9524,3.927612
244.4345,3.581604
244.9166,2.85144
245.3987,1.914429
245.8809,1.655701
246.363,2.795715
246.8451,3.696594
247.3272,3.992737
247.8093,3.928223
248.2914,3.896606
248.7736,4.139282
249.2557,4.457092
249.7378,3.998169
250.2199,1.355164
250.702,0.329834
251.1841,0.0087890001
251.6663,1.257751
252.1484,2.29071
252.6305,2.528809
253.1126,2.121826
253.5947,1.52002
254.0768,0.054565001
254.559,0.744995
255.0411,0.276794
255.5232,0.698975
256.0053,1.287354
256.4874,1.111572
256.9695,0.56488
257.4517,0.528137
257.9338,1.810486
258.4159,2.668945
258.898,2.966553
259.3801,2.887024
259.8622,2.513855
260.3444,1.888306
260.8265,1.219604
261.3086,0.892822
261.7907,1.121643
262.2728,1.392273
262.7549,1.748108
263.2371,2.113708
263.7192,2.501282
264.2013,2.909424
264.6834,3.115601
265.1655,2.689453
265.6476,1.074158
266.1298,0.307495
266.6119,1.012146
267.094,2.262756
267.5761,3.326416
268.0582,4.022278
268.5403,4.356384
269.0225,4.245667
269.5046,3.529236
269.9867,3.154419
270.4688,3.638672
270.9509,4.175293
271.433,3.911316
271.9152,2.792542
272.3973,1.618835
272.8794,1.148071
273.3615,1.458191
273.8436,1.702637
274.3257,1.867737
274.8079,1.965271
275.29,1.882507
275.7721,1.649719
276.2542,1.606567
276.7363,2.060242
277.2184,2.971619
277.7006,3.773865
278.1827,4.785278
278.6648,5.545044
279.1469,5.24823
279.629,4.023682
280.1111,3.03418
280.5933,2.957764
281.0754,3.707275
281.5575,4.662292
282.0396,6.489319
282.5217,7.782166
283.0038,7.245789
283.486,5.223694
283.9681,3.509155
284.4502,2.934021
284.9323,3.11499
285.4144,3.159729
285.8965,3.09021
286.3787,2.86731
286.8608,2.234619
287.3429,1.395264
287.825,1.009094
288.3071,1.419434
288.7892,2.215637
289.2714,2.830383
289.7535,3.265076
290.2356,3.573853
290.7177,3.815674
291.1998,3.945923
291.6819,3.78302
292.1641,3.153137
292.6462,2.49707
293.1283,2.391052
293.6104,2.772339
294.0925,3.086243
294.5746,2.884399
295.0568,2.387146
295.5389,2.20697
296.021,2.533752
296.5031,3.087769
296.9852,3.840698
297.4673,4.674438
297.9495,5.186279
298.4316,5.099243
298.9137,4.672546
299.3958,4.276306
299.8779,3.930481
300.36,3.556946
300.8422,3.040833
301.3243,2.4729
301.8064,2.01239
302.2885,1.627136
302.7706,1.430237
303.2527,1.682739
303.7349,2.428223
304.217,2.997925
304.6991,2.952576
305.1812,2.609375
305.6633,2.394287
306.1454,2.405151
306.6276,2.4375
307.1097,2.278137
307.5918,1.943176
308.0739,1.662537
308.556,1.391235
309.0381,1.335632
309.5203,1.724426
310.0024,2.60144
310.4845,3.384949
310.9666,3.570251
311.4487,3.282654
311.9308,3.164917
312.413,3.443176
312.8951,3.752686
313.3772,3.638184
313.8593,3.138062
314.3414,2.646729
314.8235,2.080505
315.3057,1.675537
315.7878,2.328247
316.2699,4.714111
316.752,6.670593
317.2341,5.958191
317.7162,3.622253
318.1984,1.888733
318.6805,1.870422
319.1626,2.771362
319.6447,3.453369
320.1268,3.93158
320.6089,4.13324
321.0911,3.850891
321.5732,3.318298
322.0553,2.749268
322.5374,1.921448
323.0195,1.4599
323.5016,2.512207
323.9838,5.105469
324.4659,6.813354
324.948,6.124451
325.4301,4.437012
325.9122,3.494629
326.3943,3.468567
326.8765,3.711853
327.3586,3.943115
327.8407,4.110413
328.3228,3.878906
328.8049,3.009521
329.287,1.931885
329.7692,0.998413
330.2513,0.211365
330.7334,0.300232
331.2155,0.387878
331.6976,0.156555
332.1797,0.193481
332.6619,0.694092
333.144,1.162354
333.6261,1.474243
334.1082,1.645081
334.5903,1.66449
335.0724,1.290649
335.5546,0.909546
336.0367,1.173706
336.5188,2.133301
337.0009,2.871765
337.483,2.632629
337.9651,1.870789
338.4473,1.444458
338.9294,1.517944
339.4115,1.831116
339.8936,2.421631
340.3757,3.221924
340.8578,3.499023
341.34,2.681335
341.8221,1.442627
342.3042,0.881714
342.7863,1.101257
343.2684,1.392822
343.7505,1.330566
344.2327,1.058838
344.7148,0.930969
345.1969,1.00238
345.679,1.284241
346.1611,2.044434
346.6432,3.188171
347.1254,3.891968
347.6075,3.73822
348.0896,3.128357
348.5717,2.501282
349.0538,1.888062
349.5359,1.302124
350.0181,0.739075
350.5002,0.212891
350.9823,0.238037
351.4644,0.989319
351.9465,1.33844
352.4286,0.37677
352.9108,1.576904
353.3929,2.943726
353.875,2.81366
354.3571,1.760254
354.8392,1.21283
355.3214,1.278748
355.8035,1.50354
356.2856,1.928223
356.7677,2.368591
357.2498,2.400269
357.7319,1.84613
358.2141,1.174011
358.6962,1.061157
359.1783,1.603394
359.6604,2.08136
360.1425,2.589783
360.6246,2.896423
361.1068,2.637207
361.5889,1.82959
362.071,1.032837
362.5531,0.698059
363.0352,0.839966
363.5173,1.106873
363.9995,1.794678
364.4816,2.308655
364.9637,2.229797
365.4458,1.737183
365.9279,1.271301
366.41,1.037781
366.8922,1.035095
367.3743,1.291687
367.8564,2.13269
368.3385,2.746399
368.8206,2.954468
369.3027,2.9104
369.7849,2.726929
370.267,2.448975
370.7491,2.179199
371.2312,2.06311
371.7133,2.150269
372.1954,2.264221
372.6776,2.561157
373.1597,2.754272
373.6418,2.558838
374.1239,2.060425
374.606,1.647644
375.0881,1.655457
375.5703,2.066895
376.0524,2.199463
376.5345,1.901611
377.0166,1.52179
377.4987,1.042297
377.9808,0.550598
378.463,0.1427
378.9451,0.137207
379.4272,0.283142
379.9093,0.268494
380.3914,0.044799998
380.8735,0.286438
381.3557,0.433472
381.8378,0.526245
382.3199,0.589111
382.802,0.628052
383.2841,0.640869
383.7662,0.613464
384.2484,0.527283
384.7305,0.504333
385.2126,0.463928
385.6947,0.564514
386.1768,0.947876
386.6589,1.505981
387.1411,2.027832
387.6232,2.380005
388.1053,2.590271
388.5874,2.817139
389.0695,3.230286
389.5516,3.40863
390.0338,3.267822
390.5159,2.885315
390.998,2.23114
391.4801,1.30188
391.9622,0.383179
392.4443,0.222229
392.9265,0.517029
393.4086,0.468628
393.8907,0.289185
394.3728,1.095154
394.8549,1.666077
395.337,1.968994
395.8192,1.961182
396.3013,1.464294
396.7834,0.6427
397.2655,0.001709
397.7476,0.494873
398.2297,0.737915
398.7119,0.434998
399.194,0.072571002
399.6761,0.318726
400.1582,0.102356
400.6403,0.218506
401.1224,0.295105
401.6046,0.147949
402.0867,0.00091599999
402.5688,0.031799
403.0509,0.101929
403.533,0.465027
404.0151,1.133545
404.4973,1.604248
404.9794,1.547668
405.4615,1.182312
405.9436,0.865845
406.4257,0.641663
406.9078,0.469177
407.39,0.316589
407.8721,0.188965
408.3542,0.107544
408.8363,0.134399
409.3184,0.125916
409.8005,0.001892
410.2827,0.127808
410.7648,0.092101999
411.2469,0.135315
411.729,0.441406
412.2111,0.53656
412.6932,0.258301
413.1754,0.189148
413.6575,0.650635
414.1396,1.246887
414.6217,1.516113
415.1038,1.397766
415.5859,1.226196
416.0681,1.370361
416.5502,1.894531
417.0323,1.978149
417.5144,1.071594
417.9965,0.357422
418.4786,0.49823
418.9608,1.163635
419.4429,1.690369
419.925,1.733276
420.4071,1.420471
420.8892,1.099609
421.3713,0.517761
421.8535,0.354492
422.3356,1.10022
422.8177,1.912781
423.2998,2.039612
423.7819,1.455933
424.264,0.76416
424.7462,0.603149
425.2283,1.014221
425.7104,1.338745
426.1925,1.671021
426.6746,1.791687
427.1567,1.481567
427.6389,0.961182
428.121,0.509705
428.6031,0.228516
429.0852,0.187622
429.5673,0.660156
430.0494,1.875549
430.5316,2.792969
431.0137,3.055481
431.4958,3.010742
431.9779,2.694458
432.46,2.166626
432.9421,1.815002
433.4243,2.154968
433.9064,2.977844
434.3885,3.2547
434.8706,2.723633
435.3527,2.098145
435.8348,1.698181
436.317,1.501526
436.7991,1.564758
437.2812,2.110413
437.7633,2.649414
438.2454,2.644043
438.7275,2.167847
439.2097,1.807617
439.6918,1.809021
440.1739,1.941284
440.656,1.781372
441.1381,1.277344
441.6202,1.058899
442.1024,1.529602
442.5845,2.251343
443.0666,2.819092
443.5487,3.175354
444.0308,3.177368
444.5129,2.549622
444.9951,1.442627
445.4772,1.225281
445.9593,2.890015
446.4414,4.158691
446.9235,4.142395
447.4056,3.356567
447.8878,2.478516
448.3699,1.751587
448.852,1.239441
449.3341,1.029663
449.8162,1.117004
450.2983,1.558044
450.7805,2.902283
451.2626,4.069885
451.7447,4.360657
452.2268,3.971436
452.7089,3.636414
453.191,3.870911
453.6732,4.491577
454.1553,4.701599
454.6374,4.161804
455.1195,3.771729
455.6016,3.816345
456.0837,3.943054
456.5659,3.856934
457.048,3.513977
457.5301,3.108459
458.0122,2.680725
458.4943,2.230103
458.9764,2.582947
459.4586,4.478943
459.9407,6.126038
460.4228,6.307495
460.9049,5.672791
461.387,5.436218
461.8691,6.281311
462.3513,7.257935
462.8334,7.049561
463.3155,5.706665
463.7976,4.534058
464.2797,3.926941
464.7618,3.679993
465.244,3.544861
465.7261,3.518738
466.2082,3.559021
466.6903,3.849792
467.1724,4.096252
467.6545,3.723511
468.1367,2.748108
468.6188,2.138062
469.1009,2.713013
469.583,4.131775
470.0651,4.687744
470.5472,3.430603
471.0294,2.630188
471.5115,3.277588
471.9936,4.521057
472.4757,5.296509
472.9578,5.331116
473.4399,5.024902
473.9221,4.858521
474.4042,4.8927
474.8863,4.698547
475.3684,4.066223
475.8505,3.451172
476.3326,3.020935
476.8148,2.723877
477.2969,2.47821
477.779,2.251587
478.2611,1.995972
478.7432,1.57782
479.2253,0.877197
479.7075,0.368408
480.1896,0.213684
480.6717,0.180725
481.1538,0.082580999
481.6359,0.024597
482.118,0.134705
482.6002,1.033264
483.0823,2.245056
483.5644,2.416809
484.0465,1.254578
484.5286,0.127258
485.0107,0.40564
485.4929,0.54834
485.975,0.481628
486.4571,0.174744
486.9392,0.102417
487.4213,0.216919
487.9034,0.178284
488.3856,0.044495001
488.8677,0.486755
489.3498,0.906555
489.8319,1.092163
490.314,1.049255
490.7961,0.991577
491.2783,1.281372
491.7604,1.176086
492.2425,0.238708
492.7246,2.184265
493.2067,3.099243
493.6888,2.436401
494.171,1.069153
494.6531,0.343445
495.1352,0.505005
495.6173,0.565735
496.0994,0.456787
496.5815,0.329346
497.0637,0.226868
497.5458,0.166382
498.0279,0.154297
498.51,0.189087
498.9921,0.295044
499.4742,0.568481
499.9564,1.130737
500.4385,1.542114
500.9206,1.67749
501.4027,1.689209
501.8848,1.515259
502.3669,1.246033
502.8491,1.247803
503.3312,1.964233
503.8133,3.091064
504.2954,3.805542
504.7775,4.068481
505.2596,4.088257
505.7418,3.685913
506.2239,3.252197
506.706,3.413635
507.1881,4.366699
507.6702,5.225647
508.1523,5.326782
508.6345,5.118835
509.1166,5.462646
509.5987,6.48822
510.0808,7.457642
510.5629,7.716309
511.045,7.340088
511.5272,7.284973
512.0093,7.871338
512.4914,8.346252
512.9735,8.288696
513.4556,8.07428
513.9377,8.263855
514.4199,8.982178
514.902,9.845215
515.3841,10.39899
515.8662,10.64575
516.3483,10.57672
516.8304,9.779053
517.3126,9.1026
517.7947,8.818115
518.2768,8.798035
518.7589,8.896667
519.241,9.068604
