WavwNum_Corundum,value_Corundum
100.0,0.0
147.6079,0.0
148.0901,5.5625
148.5722,10.19238
149.0543,12.61133
149.5364,8.908203
150.0185,4.577148
150.5006,1.544922
150.9828,0.441406
151.4649,8.311523
151.947,24.35742
152.4291,45.79785
152.9112,83.50684
153.3933,120.751
153.8755,146.4023
154.3576,149.7236
154.8397,150.5127
155.3218,152.0488
155.8039,154.3018
156.286,157.8652
156.7682,170.6006
157.2503,182.5898
157.7324,187.8516
158.2145,156.8252
158.6966,121.4541
159.1787,98.94824
159.6609,80.54199
160.143,99.74121
160.6251,207.6689
161.1072,361.1631
161.5893,467.5811
162.0714,480.3438
162.5536,442.2422
163.0357,379.0527
163.5178,263.998
163.9999,163.5781
164.482,119.9023
164.9641,124.5078
165.4463,130.3066
165.9284,113.6445
166.4105,83.96387
166.8926,53.74023
167.3747,16.83301
167.8568,9.709961
168.339,9.775391
168.8211,17.86328
169.3032,49.25
169.7853,75.41309
170.2674,88.29004
170.7495,92.82617
171.2317,85.75293
171.7138,71.74219
172.1959,54.62695
172.678,33.02051
173.1601,17.80762
173.6422,22.1582
174.1244,40.25684
174.6065,57.93262
175.0886,72.4043
175.5707,76.08496
176.0528,73.76172
176.5349,59.8877
177.0171,50.6543
177.4992,72.0498
177.9813,119.5879
178.4634,164.251
178.9455,189.3115
179.4276,194.5439
179.9098,179.1631
180.3919,131.1162
180.874,79.74414
181.3561,43.80469
181.8382,36.41895
182.3203,40.79102
182.8025,45.66211
183.2846,35.55176
183.7667,30.64746
184.2488,33.09668
184.7309,44.9541
185.213,80.99023
185.6951,149.3535
186.1773,214.251
186.6594,220.0537
187.1415,172.1377
187.6236,122.457
188.1057,97.33203
188.5878,93.87891
189.07,98.46387
189.5521,114.5957
190.0342,129.5771
190.5163,106.8818
190.9984,44.52539
191.4805,1.681641
191.9627,29.84961
192.4448,130.1357
192.9269,187.3027
193.409,169.6396
193.8911,104.0049
194.3732,71.94922
194.8554,78.71582
195.3375,98.94727
195.8196,110.001
196.3017,114.2178
196.7838,112.1221
197.2659,101.8789
197.7481,85.26367
198.2302,69.22363
198.7123,50.40723
199.1944,42.84082
199.6765,79.75684
200.1586,172.1885
200.6408,227.5391
201.1229,193.9121
201.605,69.58008
202.0871,1.828125
202.5692,9.005859
203.0513,19.80176
203.5335,39.51367
204.0156,49.63965
204.4977,55.55957
204.9798,58.6709
205.4619,59.54785
205.944,60.11816
206.4262,58.28613
206.9083,57.32129
207.3904,69.02832
207.8725,99.36816
208.3546,125.4902
208.8367,132.1396
209.3189,114.0088
209.801,98.22656
210.2831,87.32031
210.7652,80.45898
211.2473,75.97266
211.7294,78.54785
212.2116,74.84863
212.6937,47.53809
213.1758,19.7959
213.6579,55.07129
214.14,37.62695
214.6221,28.31836
215.1043,77.00391
215.5864,111.7988
216.0685,126.1875
216.5506,104.9824
217.0327,23.99902
217.5148,29.99805
217.997,29.62598
218.4791,29.24512
218.9612,67.31836
219.4433,74.83789
219.9254,70.42871
220.4075,78.92871
220.8897,106.1494
221.3718,133.46
221.8539,156.5371
222.336,177.6289
222.8181,182.5156
223.3002,160.8623
223.7824,129.2207
224.2645,120.8408
224.7466,153.6562
225.2287,178.6924
225.7108,172.2363
226.1929,115.1426
226.675,84.56836
227.1572,86.48145
227.6393,112.5098
228.1214,144.7549
228.6035,194.2041
229.0856,235.3408
229.5677,250.0947
230.0499,222.666
230.532,207.2178
231.0141,210.3223
231.4962,227.4355
231.9783,240.7002
232.4604,252.8311
232.9426,256.9971
233.4247,247.3457
233.9068,214.2217
234.3889,187.085
234.871,168.8623
