WavwNum_Dolomite,value_Dolomite
100.0,0.0
112.1203,0.0
112.6024,0.79652
113.0845,0.727068
113.5667,0.57361
114.0488,0.238047
114.5309,0.072176002
115.013,0.329876
115.4951,0.338488
115.9772,0.023461999
116.4594,0.747948
116.9415,1.497383
117.4236,2.106464
117.9057,2.674675
118.3878,3.303669
118.8699,4.483009
119.3521,5.403278
119.8342,5.316124
120.3163,4.048454
120.7984,3.160141
121.2805,3.983398
121.7626,5.801868
122.2448,7.392776
122.7269,8.176868
123.209,8.455654
123.6911,8.424564
124.1732,8.028183
124.6553,7.631996
125.1375,7.605885
125.6196,7.868526
126.1017,8.16457
126.5838,8.022053
127.0659,7.861893
127.548,8.629417
128.0302,10.81343
128.5123,13.22758
128.9944,13.97296
129.4765,13.21027
129.9586,12.44973
130.4407,12.77963
130.9229,14.02355
131.405,15.53183
131.8871,17.2695
132.3692,19.07052
132.8513,20.40244
133.3334,21.10607
133.8156,21.52106
134.2977,22.27822
134.7798,23.60706
135.2619,24.90042
135.744,26.09624
136.2261,27.14633
136.7083,27.71104
137.1904,27.55119
137.6725,27.65957
138.1546,29.43377
138.6367,33.31716
139.1188,36.42633
139.601,37.94265
140.0831,37.8687
140.5652,37.71508
141.0473,37.35838
141.5294,37.06192
142.0115,37.13568
142.4937,37.53698
142.9758,38.38627
143.4579,39.75208
143.94,41.67402
144.4221,43.86582
144.9042,46.39165
145.3864,49.13626
145.8685,51.81446
146.3506,54.16502
146.8327,56.826
147.3148,60.06808
147.7969,64.10878
148.2791,68.17645
148.7612,72.06542
149.2433,75.97779
149.7254,80.46049
150.2075,85.19843
150.6896,90.74036
151.1718,97.1811
151.6539,103.7302
152.136,112.2835
152.6181,123.6427
153.1002,137.1313
153.5823,150.6813
154.0645,164.1002
154.5466,177.7301
155.0287,191.7264
155.5108,207.5792
155.9929,222.3065
156.475,234.3299
156.9572,244.4803
157.4393,255.8847
157.9214,271.2167
158.4035,286.9106
158.8856,300.7887
159.3677,310.3631
159.8499,320.1535
160.332,331.1454
160.8141,343.2582
161.2962,356.1902
161.7783,370.213
162.2604,384.7285
162.7426,399.2439
163.2247,411.6755
163.7068,425.7981
164.1889,444.0402
164.671,465.9078
165.1531,488.3252
165.6353,508.0515
166.1174,527.8461
166.5995,550.8257
167.0816,579.0853
167.5637,610.1879
168.0458,641.9123
168.528,673.8043
169.0101,709.3437
169.4922,752.2524
169.9743,799.8695
170.4564,848.3986
170.9385,898.598
171.4207,947.6276
171.9028,994.7313
172.3849,1039.853
172.867,1078.156
173.3491,1111.118
173.8312,1134.869
174.3134,1141.931
174.7955,1128.855
175.2776,1097.539
175.7597,1046.744
176.2418,974.4146
176.7239,894.5195
177.2061,814.6492
177.6882,735.3649
178.1703,659.4639
178.6524,585.0495
179.1345,514.6276
179.6166,453.981
180.0988,403.3237
180.5809,359.5857
181.063,319.6092
181.5451,283.2282
182.0272,251.5552
182.5093,225.7722
182.9915,204.6892
183.4736,186.0548
183.9557,169.6319
184.4378,155.2507
184.9199,142.6646
185.402,131.9711
185.8842,122.2411
186.3663,113.2395
186.8484,104.8777
187.3305,97.12994
187.8126,89.85809
188.2947,83.33347
188.7769,78.17257
189.259,74.32693
189.7411,70.82447
190.2232,67.21523
190.7053,63.49977
191.1874,59.46118
191.6696,54.83836
192.1517,50.26644
192.6338,47.09914
193.1159,45.38255
193.598,43.7992
194.0801,41.48302
194.5623,38.50798
195.0444,35.72266
195.5265,33.14583
196.0086,30.90066
196.4907,29.43877
196.9728,28.85728
197.455,28.23612
197.9371,26.91761
198.4192,24.88776
198.9013,23.08078
199.3834,21.63695
199.8655,20.40436
200.3477,18.87357
200.8298,16.91912
201.3119,15.25773
201.794,14.46586
202.2761,14.64282
202.7582,14.57934
203.2404,14.17619
203.7225,13.46661
204.2046,12.45423
204.6867,11.03764
205.1688,9.663521
205.6509,8.671097
206.1331,8.127602
206.6152,7.498146
207.0973,6.748909
207.5794,5.879776
208.0615,4.806602
208.5436,3.383583
209.0258,2.135895
209.5079,1.452278
209.99,1.452492
210.4721,1.451447
210.9542,1.376953
211.4363,1.269569
211.9185,1.264221
212.4006,1.365471
212.8827,1.559441
