WavwNum_Gaspeite,value_Gaspeite
100.0,0.0
167.6309,0.0
168.113,0.116692
168.5951,0.471851
169.0772,0.821701
169.5593,1.253616
170.0414,1.858196
170.5236,2.841694
171.0057,3.751472
171.4878,3.797691
171.9699,3.270649
172.452,2.524174
172.9341,1.339909
173.4163,0.191795
173.8984,0.310661
174.3805,0.168358
174.8626,0.972836
175.3447,1.621204
175.8268,2.105682
176.309,2.382236
176.7911,2.245609
177.2732,1.910595
177.7553,1.741131
178.2374,1.923611
178.7195,2.201473
179.2017,2.187782
179.6838,1.915642
180.1659,1.699974
180.648,1.918983
181.1301,2.380554
181.6122,2.662792
182.0944,2.464417
182.5765,2.05695
183.0586,1.869862
183.5407,1.902397
184.0228,1.907234
184.5049,1.503899
184.9871,0.843845
185.4692,0.496861
185.9513,0.737186
186.4334,1.364109
186.9155,2.06395
187.3976,2.865143
187.8798,3.38063
188.3619,2.904278
188.844,1.619675
189.3261,0.751675
189.8082,0.922474
190.2903,1.817539
190.7725,2.267788
191.2546,2.222309
191.7367,2.035759
192.2188,2.262619
192.7009,2.864693
193.183,3.084427
193.6652,2.418034
194.1473,1.049973
194.6294,0.163399
195.1115,0.208889
195.5936,0.218117
196.0757,0.025288001
196.5579,0.528221
197.04,1.037586
197.5221,1.491814
198.0042,1.884933
198.4863,2.081211
198.9684,2.006882
199.4506,1.898342
199.9327,2.229401
200.4148,3.078381
200.8969,3.671944
201.379,3.502682
201.8611,2.526356
202.3433,2.195938
202.8254,2.71233
203.3075,3.552021
203.7896,3.717083
204.2717,3.045738
204.7538,2.526466
205.236,2.663502
205.7181,3.54628
206.2002,4.245323
206.6823,4.727383
207.1644,5.06638
207.6465,5.341637
208.1287,5.482574
208.6108,5.794647
209.0929,6.483521
209.575,7.656712
210.0571,8.642902
210.5392,9.421421
211.0214,10.04125
211.5035,10.64808
211.9856,11.33054
212.4677,11.74846
212.9498,11.62925
213.4319,10.68801
213.914,10.26068
214.3962,10.49369
214.8783,11.15717
215.3604,11.84716
215.8425,12.56646
216.3246,13.41861
216.8067,14.37203
217.2889,15.49826
217.771,16.25079
218.2531,16.43622
218.7352,16.33469
219.2173,16.65605
219.6994,17.5854
220.1816,18.63211
220.6637,19.54055
221.1458,20.37002
221.6279,20.93251
222.11,21.09387
222.5921,20.98155
223.0743,21.07539
223.5564,21.5143
224.0385,21.96334
224.5206,22.39278
225.0027,22.90857
225.4848,23.19618
225.967,23.21682
226.4491,23.03233
226.9312,22.79468
227.4133,22.49825
227.8954,22.1581
228.3775,21.77496
228.8597,21.29283
229.3418,20.9017
229.8239,20.70679
230.306,20.57292
230.7881,20.12868
231.2702,19.26091
231.7524,18.21877
232.2345,17.1373
232.7166,15.96465
233.1987,14.79215
233.6808,13.57565
234.1629,12.37505
234.6451,11.32638
235.1272,10.45345
235.6093,9.711658
236.0914,9.082932
236.5735,8.566597
237.0556,8.19215
237.5378,8.107239
238.0199,8.124107
238.502,7.725456
238.9841,6.606884
239.4662,5.518284
239.9483,4.812752
240.4305,4.768383
240.9126,4.439751
241.3947,3.605267
241.8768,2.554123
242.3589,2.028625
242.841,2.290546
243.3232,2.672989
243.8053,2.909954
244.2874,2.975143
244.7695,2.959667
245.2516,2.88232
245.7337,2.717907
246.2159,2.372299
246.698,1.643272
247.1801,1.051922
247.6622,0.832832
248.1443,1.164036
248.6264,1.374027
249.1086,1.46492
249.5907,1.437099
250.0728,1.244247
250.5549,0.675331
251.037,0.298542
251.5191,0.39922
252.0013,1.203419
252.4834,1.724613
252.9655,1.90884
253.4476,1.835354
253.9297,1.598003
254.4118,1.037907
254.894,0.603828
255.3761,0.517666
255.8582,0.935898
256.3403,1.047199
256.8224,0.706505
257.3046,0.171391
257.7867,0.114044
258.2688,0.053993002
258.7509,0.051231001
259.233,0.113113
259.7151,0.130451
260.1973,0.098330997
260.6794,0.062042002
261.1615,0.193634
261.6436,0.001282
262.1257,0.739277
262.6078,1.279377
263.09,1.363785
263.5721,0.949749
264.0542,0.449131
264.5363,0.306446
265.0184,0.954826
265.5005,0.949318
265.9827,0.018897999
266.4648,0.774002
266.9469,1.109371
267.429,0.978081
267.9111,0.790104
268.3932,0.495995
268.8754,0.22361
269.3575,0.152554
269.8396,0.355606
270.3217,0.489975
270.8038,0.460182
271.2859,0.274582
271.7681,0.064181998
272.2502,0.22221
272.7323,0.42757
273.2144,0.302624
273.6965,0.254429
274.1786,0.580074
274.6608,0.455524
275.1429,0.038562998
275.625,0.31567
276.1071,0.340088
276.5892,0.250534
277.0714,0.123497
277.5535,0.061168998
278.0356,0.083774999
278.5177,0.192001
278.9998,0.636559
279.4819,0.686153
279.9641,0.286587
280.4462,0.282249
280.9283,0.914787
281.4104,1.618397
281.8925,1.97435
282.3746,1.842133
282.8568,1.380001
283.3389,0.976074
283.821,0.617504
284.3031,0.412937
284.7852,0.547092
285.2673,0.990437
285.7495,1.231213
286.2316,1.179409
286.7137,0.932816
287.1958,0.626778
287.6779,0.255222
288.16,0.0059620002
288.6422,0.030471999
289.1243,0.314041
289.6064,0.413094
290.0885,0.204056
290.5706,0.021973001
291.0527,0.631393
291.5349,1.964081
292.017,3.013172
292.4991,2.952003
292.9812,2.114922
293.4633,1.779381
293.9454,2.093739
294.4276,2.553509
294.9097,2.355747
295.3918,1.642082
295.8739,1.163387
296.356,1.525242
296.8381,2.358768
297.3203,2.73941
297.8024,2.609016
298.2845,2.380276
298.7666,2.587025
299.2487,3.069988
299.7308,3.344471
300.213,2.96006
300.6951,2.339085
301.1772,2.231701
301.6593,2.636002
302.1414,3.113308
302.6235,3.236973
303.1057,3.157177
303.5878,3.177124
304.0699,3.491283
304.552,3.882042
305.0341,4.057808
305.5162,4.04517
305.9984,4.075863
306.4805,4.461617
306.9626,4.955429
307.4447,5.176624
307.9268,4.835194
308.4089,4.44326
308.8911,4.440456
309.3732,4.772938
309.8553,5.220749
310.3374,5.693203
310.8195,6.19968
311.3016,6.759605
311.7838,7.421333
312.2659,8.040379
312.748,8.462505
313.2301,8.757462
313.7122,9.10677
314.1943,9.760368
314.6765,10.39767
315.1586,10.65214
315.6407,10.2272
316.1228,10.25772
316.6049,11.63104
317.087,13.77044
317.5692,15.70745
318.0513,17.03905
318.5334,18.14488
319.0155,19.2189
319.4976,20.3251
319.9797,21.24889
320.4619,21.59946
320.944,21.84052
321.4261,22.4847
321.9082,23.97362
322.3903,25.55804
322.8724,27.11448
323.3546,28.67516
323.8367,29.96968
324.3188,30.25385
324.8009,30.54967
325.283,31.63497
325.7651,34.66492
326.2473,37.32006
326.7294,38.94162
327.2115,39.71341
327.6936,41.10903
328.1757,43.8196
328.6578,46.71516
329.14,49.24327
329.6221,50.95428
330.1042,52.84984
330.5863,54.99324
331.0684,57.36592
331.5505,59.78105
332.0327,62.22359
332.5148,64.73005
332.9969,67.43272
333.479,70.64429
333.9611,72.97949
334.4432,74.0552
334.9254,74.48948
335.4075,75.38813
335.8896,77.17557
336.3717,78.54868
336.8538,79.04789
337.3359,78.63776
337.818,78.13577
338.3001,77.75987
338.7823,76.9405
339.2644,74.95885
339.7465,71.59902
340.2286,67.96832
340.7107,64.31348
341.1928,60.58442
341.675,56.75886
342.1571,52.71732
342.6392,48.8201
343.1213,45.36187
343.6034,42.37701
344.0855,39.38279
344.5677,36.26855
345.0498,33.16541
345.5319,30.53642
346.014,28.39313
346.4961,26.34218
346.9782,24.12151
347.4604,21.75782
347.9425,19.40565
348.4246,16.96735
348.9067,14.80899
349.3888,13.59457
349.8709,13.19473
350.3531,12.91307
350.8352,12.38858
351.3173,11.68836
351.7994,10.95199
352.2815,10.17706
352.7636,9.488247
353.2458,9.112362
353.7279,8.895432
354.21,8.610687
354.6921,8.131527
355.1742,7.600796
355.6563,7.174812
356.1385,6.827744
356.6206,6.502079
357.1027,6.056366
357.5848,5.644398
358.0669,5.483265
358.549,5.895863
359.0312,6.184975
359.5133,5.726082
359.9954,4.717537
360.4775,3.853146
360.9596,3.474285
361.4417,3.341419
361.9239,3.308826
362.406,3.382233
362.8881,3.470905
363.3702,3.6436
363.8523,3.790928
364.3344,3.745243
364.8166,3.223171
365.2987,2.708504
365.7808,2.400295
366.2629,2.32431
366.745,2.285645
367.2271,2.336937
367.7093,2.388348
368.1914,2.3615
368.6735,1.814148
369.1556,1.560143
369.6377,1.895241
370.1198,2.72718
370.602,3.233246
371.0841,3.28244
371.5662,3.127495
372.0483,2.903885
372.5304,2.649387
373.0125,2.226383
373.4947,1.456532
373.9768,0.582634
374.4589,0.208042
374.941,0.517857
375.4231,0.929501
375.9052,1.282154
376.3874,1.600166
376.8695,1.615192
377.3516,1.162716
377.8337,0.679996
378.3158,0.800598
378.7979,1.624901
379.2801,2.309479
379.7622,2.651253
380.2443,2.702148
380.7264,2.530907
381.2085,2.06765
381.6906,1.609592
382.1728,1.482365
382.6549,1.62809
383.137,1.681236
383.6191,1.574074
384.1012,1.35667
384.5833,0.972866
385.0655,0.474255
385.5476,0.236046
386.0297,0.865753
386.5118,1.805782
386.9939,1.902534
387.476,0.957058
387.9582,0.089419998
388.4403,0.328609
388.9224,0.018955
389.4045,0.298412
389.8866,0.387909
390.3687,0.398293
390.8509,0.43837
391.333,0.508327
391.8151,0.598778
392.2972,0.756035
392.7793,0.906689
393.2614,0.963863
393.7436,0.721878
394.2257,0.632648
394.7078,1.077274
395.1899,1.838886
395.672,2.347755
396.1541,2.242996
396.6363,1.989899
397.1184,1.799095
397.6005,1.713902
398.0826,1.628918
398.5647,1.567356
399.0468,1.484837
399.529,1.327438
400.0111,0.806839
400.4932,0.523083
400.9753,0.685112
401.4574,1.29158
401.9395,1.688869
402.4217,1.760906
402.9038,1.749401
403.3859,1.85429
403.868,2.281395
404.3501,2.325489
404.8322,1.712337
405.3144,0.726505
405.7965,0.197151
406.2786,0.24855
406.7607,0.332779
407.2428,0.110657
407.7249,0.440144
408.2071,0.430222
408.6892,0.305347
409.1713,1.115688
409.6534,0.998264
410.1355,0.012932
410.6176,0.607483
411.0998,0.327366
411.5819,0.433914
412.064,0.597736
412.5461,0.185738
413.0282,0.216984
413.5103,0.038074002
413.9925,0.461872
414.4746,0.739937
414.9567,0.677044
415.4388,0.465691
415.9209,0.161572
416.403,0.144562
416.8852,0.242779
417.3673,0.185684
417.8494,0.72506
418.3315,1.008259
418.8136,1.00909
419.2957,1.002384
419.7779,1.276573
420.26,1.56213
420.7421,1.584782
421.2242,0.884659
421.7063,0.31015
422.1884,0.185604
422.6706,0.419834
423.1527,0.655277
423.6348,1.007637
424.1169,1.179523
424.599,0.934273
425.0811,0.212158
425.5633,0.682987
426.0454,0.210106
426.5275,1.533363
427.0096,2.079945
427.4917,1.210079
427.9738,0.532906
428.456,0.460991
428.9381,0.960247
429.4202,1.192051
429.9023,1.08831
430.3844,0.843441
430.8665,0.553276
431.3487,0.187584
431.8308,0.026825
432.3129,0.037551999
432.795,0.067691997
433.2771,0.099319004
433.7592,0.052219
434.2414,0.049697999
434.7235,0.211292
435.2056,0.472607
435.6877,0.566074
436.1698,0.487736
436.6519,0.302837
437.1341,0.07288
437.6162,0.508835
438.0983,0.640343
438.5804,0.219498
439.0625,0.333351
439.5446,0.405674
440.0268,0.15675
440.5089,0.167503
440.991,1.268955
441.4731,2.491386
441.9552,2.884331
442.4373,2.198997
442.9195,1.453667
443.4016,1.074688
443.8837,0.957039
444.3658,0.973057
444.8479,1.235901
445.33,1.475128
445.8122,1.577847
446.2943,1.552212
446.7764,1.585739
447.2585,1.800083
447.7406,1.985046
448.2227,2.043285
448.7049,2.003868
449.187,1.761551
