WavwNum_Goethite,value_Goethite
100.0,0.0
140.6501,0.0
141.1322,0.147745
141.6143,0.025751
142.0964,0.065568998
142.5785,0.39712
143.0607,0.889832
143.5428,0.970009
144.0249,0.800467
144.507,0.565876
144.9891,0.136688
145.4712,0.103939
145.9534,0.020948
146.4355,0.459345
146.9176,0.967178
147.3997,1.651794
147.8818,2.303429
148.3639,2.552662
148.8461,2.116383
149.3282,1.608286
149.8103,1.224894
150.2924,0.928644
150.7745,0.80188
151.2566,0.894875
151.7388,1.159492
152.2209,1.461603
152.703,1.938082
153.1851,2.341818
153.6672,2.56237
154.1493,2.188015
154.6315,2.173584
155.1136,3.004576
155.5957,4.344955
156.0778,4.974209
156.5599,4.051811
157.042,2.854128
157.5242,2.068333
158.0063,2.085857
158.4884,2.29858
158.9705,2.705748
159.4526,3.11064
159.9347,3.268734
160.4169,2.785461
160.899,2.251768
161.3811,2.026537
161.8632,2.627928
162.3453,3.23834
162.8274,3.450468
163.3096,3.239027
163.7917,3.176458
164.2738,3.488008
164.7559,4.041504
165.238,4.706757
165.7201,5.692955
166.2023,6.575012
166.6844,7.199923
167.1665,7.563457
167.6486,7.584612
168.1307,7.087456
168.6128,6.254509
169.0949,5.323772
169.5771,4.240276
170.0592,3.191719
170.5413,2.268694
171.0234,1.461002
171.5055,0.896917
171.9876,0.83424
172.4698,1.066786
172.9519,1.22823
173.434,1.108282
173.9161,0.854204
174.3982,0.600611
174.8803,0.353262
175.3625,0.131285
175.8446,0.081064001
176.3267,0.260328
176.8088,0.343815
177.2909,0.235409
177.773,0.030239001
178.2552,0.154469
178.7373,0.320559
179.2194,0.41758
179.7015,0.326025
180.1836,0.096147999
180.6657,0.076798998
181.1479,0.026489001
181.63,0.151716
182.1121,0.267914
182.5942,0.295752
183.0763,0.265345
183.5584,0.121611
184.0406,0.099009998
184.5227,0.151426
185.0048,0.266804
185.4869,0.986412
185.969,1.531942
186.4511,1.825575
186.9333,1.928541
187.4154,1.889301
187.8975,1.714512
188.3796,1.52634
188.8617,1.339878
189.3438,1.18791
189.826,1.259596
190.3081,1.665154
190.7902,2.209738
191.2723,2.466269
191.7544,2.42852
192.2365,2.325655
192.7187,2.3165
193.2008,2.394323
193.6829,2.47723
194.165,2.52586
194.6471,2.592806
195.1292,2.857031
195.6114,3.335819
196.0935,3.842941
196.5756,4.22616
197.0577,4.486708
197.5398,4.710852
198.0219,4.908564
198.5041,5.101101
198.9862,5.227242
199.4683,5.255562
199.9504,5.372118
200.4325,5.784954
200.9146,6.507221
201.3968,7.197601
201.8789,7.751921
202.361,8.218819
202.8431,8.848848
203.3252,9.647566
203.8073,10.5563
204.2895,11.54804
204.7716,12.64479
205.2537,13.70424
205.7358,14.83934
206.2179,15.93513
206.7,16.23696
207.1822,15.66988
207.6643,14.55752
208.1464,13.01651
208.6285,10.87946
209.1106,9.075798
209.5927,7.845856
210.0749,7.129826
210.557,6.356411
211.0391,5.469648
211.5212,4.660353
212.0033,4.137318
212.4854,3.981247
212.9676,3.882338
213.4497,3.7815
213.9318,3.677055
214.4139,3.54475
214.896,3.316868
215.3781,3.070688
215.8603,2.941914
216.3424,2.978693
216.8245,3.082947
217.3066,3.217016
217.7887,3.359163
218.2708,3.548279
218.7529,3.794094
219.2351,4.091646
219.7172,4.450037
220.1993,4.934998
220.6814,5.316446
221.1635,5.474918
221.6456,5.406818
222.1278,5.626751
222.6099,6.286263
223.092,7.057796
223.5741,7.556925
224.0562,7.616428
224.5383,7.798719
225.0205,8.194523
225.5026,8.797991
225.9847,9.712938
226.4668,11.13957
226.9489,12.65599
227.431,13.75777
227.9132,14.24778
228.3953,14.78354
228.8774,15.51897
229.3595,16.46975
229.8416,17.31781
230.3237,18.02438
230.8059,18.68196
231.288,19.40066
231.7701,20.26579
232.2522,21.01497
232.7343,21.54358
233.2164,21.84319
233.6986,22.29801
234.1807,22.90438
234.6628,23.66022
235.1449,24.59041
235.627,25.79928
236.1091,26.95524
236.5913,28.00403
237.0734,28.9378
237.5555,29.80074
238.0376,30.38729
238.5197,31.10612
239.0018,32.38565
239.484,34.5553
239.9661,36.6597
240.4482,38.45295
240.9303,39.94029
241.4124,41.866
241.8945,44.34713
242.3767,47.13239
242.8588,50.0067
243.3409,53.03899
243.823,56.02898
244.3051,59.06581
244.7872,62.13461
245.2694,64.77788
245.7515,67.42422
246.2336,69.16946
246.7157,69.26979
247.1978,67.53204
247.6799,64.48367
248.1621,59.94196
248.6442,53.97126
249.1263,47.98169
249.6084,41.74636
250.0905,35.7142
250.5726,30.17763
251.0548,24.99844
251.5369,20.60695
252.019,17.20748
252.5011,14.70186
252.9832,12.49566
253.4653,10.55766
253.9475,8.934509
254.4296,7.657677
254.9117,6.727375
255.3938,6.163937
255.8759,6.113087
256.358,6.459221
256.8401,6.504883
257.3223,6.113071
257.8044,5.633965
258.2865,5.327202
258.7686,5.349854
259.2507,5.125751
259.7328,4.516602
260.215,3.629063
260.6971,2.862068
261.1792,2.261002
261.6613,1.714024
262.1434,1.124702
262.6255,0.410522
263.1077,0.057326999
263.5898,0.160172
264.0719,0.025149999
264.554,0.070537999
265.0361,0.373169
265.5182,0.692184
266.0004,0.921326
266.4825,1.073021
266.9646,1.069664
267.4467,0.855427
267.9288,0.513603
268.4109,0.253559
268.8931,0.030872
269.3752,0.104591
269.8573,0.071560003
270.3394,0.190971
270.8215,0.408699
271.3036,0.61964
271.7858,0.729073
272.2679,0.442879
272.75,0.387119
273.2321,1.074406
273.7142,1.159836
274.1964,0.526997
274.6785,0.423206
275.1606,1.019196
275.6427,1.921017
276.1248,2.431705
276.6069,2.46072
277.0891,2.559025
277.5712,2.930882
278.0533,3.588524
278.5354,4.416283
