WavwNum_Lepidocrocite,value_Lepidocrocite
100.0,0.0
163.8074,0.0
164.2896,0.029564001
164.7717,0.011612
165.2538,0.0053590001
165.7359,0.112153
166.218,0.270435
166.7001,0.324195
167.1823,0.239612
167.6644,0.145228
168.1465,0.145333
168.6286,0.234991
169.1107,0.31726
169.5928,0.43074
170.075,0.700391
170.5571,0.855678
171.0392,0.919316
171.5213,0.916465
172.0034,0.750673
172.4855,0.52212
172.9677,0.272599
173.4498,0.390925
173.9319,0.660087
174.414,0.759585
174.8961,0.526799
175.3782,0.200321
175.8604,0.013357
176.3425,0.0066900002
176.8246,0.075873002
177.3067,0.413313
177.7888,0.845991
178.2709,1.094254
178.7531,0.995939
179.2352,0.714117
179.7173,0.423476
180.1994,0.126837
180.6815,0.055468
181.1636,0.097631
181.6458,0.472211
182.1279,0.714734
182.61,0.613925
183.0921,0.352718
183.5742,0.362754
184.0563,0.657224
184.5385,0.937562
185.0206,0.836159
185.5027,0.429271
185.9848,0.088179998
186.4669,0.021438001
186.949,0.024971001
187.4312,0.0045119999
187.9133,0.118713
188.3954,0.108686
188.8775,0.015852001
189.3596,0.043101002
189.8417,0.020022999
190.3239,0.158958
190.806,0.039494
191.2881,0.177647
191.7702,0.140531
192.2523,0.079405002
192.7344,0.24327
193.2166,0.630597
193.6987,0.918541
194.1808,0.917085
194.6629,0.658599
195.145,0.522806
195.6271,0.511936
196.1093,0.616067
196.5914,0.877563
197.0735,1.314522
197.5556,1.685635
198.0377,1.808764
198.5198,1.681872
199.002,1.846095
199.4841,2.401911
199.9662,3.071789
200.4483,3.368327
200.9304,3.228891
201.4125,3.096948
201.8947,3.191368
202.3768,3.534605
202.8589,3.818442
203.341,4.036133
203.8231,4.202288
204.3052,4.309959
204.7874,4.327971
205.2695,4.420357
205.7516,4.7137
206.2337,5.262772
206.7158,5.617246
207.1979,5.69758
207.6801,5.656363
208.1622,5.836254
208.6443,6.31805
209.1264,6.774224
209.6085,6.964435
210.0906,6.734223
210.5728,6.991556
211.0549,7.910144
211.537,9.205094
212.0191,10.19155
212.5012,10.77142
212.9833,11.30732
213.4655,11.99195
213.9476,12.9183
214.4297,13.67044
214.9118,14.24713
215.3939,14.64125
215.876,14.87774
216.3582,15.03349
216.8403,14.86817
217.3224,14.18161
217.8045,12.72178
218.2866,11.50707
218.7687,10.6419
219.2508,10.018
219.733,9.417048
220.2151,8.8544
220.6972,8.312426
221.1793,7.760992
221.6614,7.164333
222.1435,6.664343
222.6257,6.207174
223.1078,5.861175
223.5899,5.862749
224.072,6.453029
224.5541,6.991585
225.0362,7.156694
225.5184,6.763938
226.0005,6.477672
226.4826,6.258189
226.9647,6.147623
227.4468,6.310962
227.9289,6.8568
228.4111,7.525359
228.8932,8.223531
229.3753,8.941102
229.8574,9.720071
230.3395,10.56473
230.8216,11.44582
231.3038,12.30555
231.7859,13.05579
232.268,13.90446
232.7501,14.97559
233.2322,16.44098
233.7143,17.71704
234.1965,18.7202
234.6786,19.56608
235.1607,20.58674
235.6428,21.9413
236.1249,23.22665
236.607,24.22916
237.0892,24.70749
237.5713,25.44421
238.0534,26.54167
238.5355,27.86035
239.0176,29.05793
239.4997,29.99998
239.9819,31.02039
240.464,32.24961
240.9461,33.72505
241.4282,35.33176
241.9103,37.04423
242.3924,38.89574
242.8746,40.97206
243.3567,43.3171
243.8388,45.81861
244.3209,48.40412
244.803,50.9042
245.2851,53.88539
245.7673,57.40979
246.2494,61.38131
246.7315,65.65552
247.2136,70.51267
247.6957,75.23712
248.1778,79.72607
248.66,84.34569
249.1421,87.5492
249.6242,89.23983
250.1063,89.59898
250.5884,89.0427
251.0705,87.92995
251.5527,85.26038
252.0348,80.47507
252.5169,72.92598
252.999,65.3847
253.4811,57.55402
253.9632,49.83887
254.4454,43.06268
254.9275,37.30753
255.4096,32.24064
255.8917,27.74723
256.3738,23.84961
256.856,20.58822
257.3381,18.07478
257.8202,16.0779
258.3023,14.20749
258.7844,12.4564
259.2665,10.88713
259.7487,9.511176
260.2308,8.333011
260.7129,7.403058
261.195,6.762619
261.6771,6.281975
262.1592,5.812619
262.6414,5.375915
263.1235,4.928144
263.6056,4.443766
264.0877,3.922032
264.5698,3.506834
265.0519,3.229981
265.5341,2.997431
266.0162,2.656707
266.4983,2.144944
266.9804,1.746907
267.4625,1.544246
267.9446,1.529741
268.4268,1.39643
268.9089,1.094415
269.391,0.787895
269.8731,0.689203
270.3552,0.867345
270.8373,0.9714
271.3195,0.913078
271.8016,0.705152
272.2837,0.467947
272.7658,0.170725
273.2479,0.092531003
273.73,0.145841
274.2122,0.171508
274.6943,0.16098
275.1764,0.128528
275.6585,0.010009
276.1406,0.1136
276.6227,0.18359
277.1049,0.213175
277.587,0.180901
278.0691,0.079586998
278.5512,0.001606
279.0333,0.050512001
279.5154,0.069021001
279.9976,0.043588001
280.4797,0.040295001
280.9618,0.093479998
281.4439,0.0022489999
281.926,0.136526
282.4081,0.072968997
282.8903,0.092275999
283.3724,0.264155
283.8545,0.378367
284.3366,0.235087
284.8187,0.011658
285.3008,0.174164
285.783,0.068172
286.2651,0.166116
286.7472,0.061799999
287.2293,0.104763
287.7114,0.072842002
288.1935,0.15631
288.6757,0.447266
289.1578,0.75364
289.6399,1.066501
290.122,1.316736
290.6041,1.492992
291.0862,1.636349
291.5684,1.82153
292.0505,2.040509
292.5326,2.210051
293.0147,2.247387
293.4968,2.203281
293.9789,2.225066
294.4611,2.315542
294.9432,2.475807
295.4253,2.761418
295.9074,3.138992
296.3895,3.455721
296.8716,3.287208
297.3538,3.769545
297.8359,4.076422
298.318,4.217296
298.8001,3.694557
299.2822,4.029076
299.7643,4.020259
300.2465,3.997509
300.7286,4.453099
301.2107,4.027624
301.6928,4.475941
302.1749,4.575671
302.657,4.835157
303.1392,4.749199
303.6213,4.770165
304.1034,4.766596
304.5855,4.543551
305.0676,4.286333
305.5497,4.252938
306.0319,4.403539
306.514,4.530256
306.9961,4.510626
307.4782,4.384398
307.9603,4.174972
308.4424,3.821043
308.9246,3.51263
309.4067,3.533956
309.8888,3.745505
310.3709,3.74783
310.853,3.081892
311.3351,2.246249
311.8173,1.679518
312.2994,1.502604
312.7815,1.418175
313.2636,1.281618
313.7457,1.113411
314.2278,0.949005
314.71,0.755819
315.1921,0.607994
315.6742,0.60051
316.1563,0.782922
316.6384,0.850481
317.1205,0.523036
317.6027,0.045508001
318.0848,0.263372
318.5669,0.242324
319.049,0.110156
319.5311,0.102873
320.0132,0.401479
320.4954,0.537637
320.9775,0.218579
321.4596,0.187142
321.9417,0.18576
322.4238,0.106803
322.9059,0.450617
323.3881,0.408143
323.8702,0.015924999
324.3523,0.255284
