WavwNum_Magnesiochromite,value_Magnesiochromite
100.0,0.0
169.253,0.0
169.735,0.487762
170.217,2.691437
170.699,8.595734
171.181,15.33276
171.663,31.57516
172.145,32.86429
172.627,22.44006
173.109,6.995361
173.592,2.572998
174.074,1.687744
174.556,11.87003
175.038,19.39838
175.52,24.13385
176.002,25.9653
176.484,21.99368
176.966,14.64572
177.449,9.969696
177.931,12.06372
178.413,18.36447
178.895,25.41357
179.377,33.34119
179.859,40.51639
180.341,45.9425
180.823,49.37546
181.305,49.5686
181.788,42.88367
182.27,32.55673
182.752,26.56003
183.234,26.59888
183.716,29.14117
184.198,28.5564
184.68,25.22903
185.162,23.03207
185.645,26.59015
186.127,33.81601
186.609,36.78702
187.091,33.33655
187.573,26.44305
188.055,20.92612
188.537,16.70428
189.019,14.82608
189.501,16.70193
189.984,21.96725
190.466,28.11572
190.948,35.84784
191.43,43.34454
191.912,44.8176
192.394,39.81021
192.876,32.98587
193.358,27.75757
193.84,24.17087
194.323,22.1908
194.805,21.96274
195.287,23.81216
195.769,27.49304
196.251,32.99365
196.733,39.39725
197.215,46.52197
197.697,54.75613
198.18,59.48065
198.662,58.37714
199.144,52.21729
199.626,44.19901
200.108,33.29724
200.59,23.1232
201.072,18.09232
201.554,19.76855
202.036,24.944
202.519,33.81714
203.001,47.76767
203.483,54.58035
203.965,51.86603
204.447,45.17639
204.929,43.05627
205.411,47.31763
205.893,49.27753
206.376,45.51407
206.858,35.33456
207.34,28.72693
207.822,25.69019
208.304,26.22711
208.786,32.42682
209.268,47.66077
209.75,58.10513
210.232,56.95312
210.714,39.32767
211.197,26.62378
211.679,19.37759
212.161,16.75598
212.643,18.47156
213.125,27.0556
213.607,33.91898
214.089,34.61581
214.572,26.62912
215.054,21.70157
215.536,21.5145
216.018,23.6348
216.5,21.78702
216.982,13.92938
217.464,6.63147
217.946,3.054932
218.428,4.200256
218.911,6.325684
219.393,10.59909
219.875,15.43829
220.357,15.57925
220.839,7.659088
221.321,0.642487
221.803,0.129364
222.285,8.542725
222.767,14.00998
223.25,14.71384
223.732,11.92328
224.214,10.38501
224.696,11.23892
225.178,12.11765
225.66,10.14044
226.142,2.592224
226.624,0.515869
227.107,3.157959
227.589,11.91101
228.071,19.14255
228.553,25.13156
229.035,29.34042
229.517,31.23886
229.999,29.98828
230.481,28.29611
230.963,26.7197
231.445,24.71002
231.928,20.84207
232.41,13.61215
232.892,5.926666
233.374,0.982269
233.856,10.89224
234.338,11.56885
234.82,3.889496
235.303,31.85925
235.785,44.17136
236.267,32.3208
236.749,14.86398
237.231,4.244141
237.713,1.241058
238.195,4.399078
