WavwNum_Magnesite,value_Magnesite
100.0,0.0
124.494,0.0
124.9761,0.109643
125.4582,0.213204
125.9404,0.230792
126.4225,0.201006
126.9046,0.086562999
127.3867,0.01174
127.8688,0.075176001
128.3509,0.111008
128.8331,0.094649002
129.3152,0.032228
129.7973,0.249043
130.2794,0.450636
130.7615,0.560558
131.2436,0.611254
131.7258,0.718534
132.2079,0.896538
132.69,1.096909
133.1721,1.198793
133.6542,1.197496
134.1364,1.302782
134.6185,1.650337
135.1006,2.236294
135.5827,2.880833
136.0648,3.582186
136.5469,4.329634
137.0291,5.147161
137.5112,6.070381
137.9933,6.884535
138.4754,7.457594
138.9575,7.763899
139.4396,7.946205
139.9218,8.016726
140.4039,7.973061
140.886,7.749191
141.3681,7.22834
141.8502,6.735403
142.3323,6.555817
142.8145,6.819477
143.2966,7.056553
143.7787,7.17165
144.2608,7.170418
144.7429,7.257225
145.2251,7.465519
145.7072,7.734753
146.1893,8.016844
146.6714,8.359409
147.1535,8.638353
147.6356,8.761753
148.1178,8.665642
148.5999,8.841637
149.082,9.462431
149.5641,10.28243
150.0462,11.00705
150.5283,11.53127
151.0105,12.05384
151.4926,12.26443
151.9747,12.4455
152.4568,12.67858
152.9389,12.99378
153.421,13.35127
153.9032,13.70101
154.3853,14.23004
154.8674,14.58064
155.3495,14.62236
155.8316,14.26075
156.3138,13.81749
156.7959,13.18443
157.278,12.51204
157.7601,12.08732
158.2422,12.17875
158.7243,12.36847
159.2065,12.45147
159.6886,12.33022
160.1707,12.21619
160.6528,12.17693
161.1349,12.19065
161.617,12.20117
162.0992,12.23239
162.5813,12.22829
163.0634,12.1357
163.5455,11.79529
164.0276,11.56337
164.5097,11.65565
164.9919,12.00739
165.474,12.37023
165.9561,12.69763
166.4382,12.94796
166.9203,13.08102
167.4025,12.95115
167.8846,12.83976
168.3667,12.92307
168.8488,13.1845
169.3309,13.52127
169.813,13.96305
170.2952,14.42048
170.7773,14.77494
171.2594,14.92997
171.7415,15.01521
172.2236,15.08914
172.7057,15.1585
173.1879,15.3387
173.67,15.87543
174.1521,16.56311
174.6342,17.05726
175.1163,17.0779
175.5984,16.91807
176.0806,16.91321
176.5627,17.06342
177.0448,17.26546
177.5269,17.33704
178.009,17.38102
178.4911,17.64922
178.9733,18.43631
179.4554,19.44935
179.9375,20.28564
180.4196,20.83578
180.9017,21.26494
181.3839,21.65515
181.866,22.00437
182.3481,22.41757
182.8302,23.17202
183.3123,24.10817
183.7944,24.7789
184.2766,25.11937
184.7587,25.48159
185.2408,26.27847
185.7229,27.48323
186.205,28.96786
186.6871,30.63512
187.1693,32.53438
187.6514,34.57057
188.1335,36.62111
188.6156,39.26323
189.0977,43.85347
189.5798,50.26859
190.062,56.49701
190.5441,61.48517
191.0262,65.37748
191.5083,69.08766
191.9904,72.67547
192.4725,76.24697
192.9547,80.05839
193.4368,84.15063
193.9189,88.13253
194.401,91.69993
194.8831,94.89629
195.3652,98.32178
195.8474,102.0513
196.3295,105.9706
196.8116,109.8761
197.2937,113.7515
197.7758,117.6315
198.2579,121.289
198.7401,124.7062
199.2222,128.9502
199.7043,134.1127
200.1864,140.0252
200.6685,146.3764
201.1507,153.1135
201.6328,160.3203
202.1149,168.0255
202.597,176.2204
203.0791,185.0075
203.5612,194.1843
204.0434,204.0051
204.5255,215.0541
