WavwNum_Magnetite,value_Magnetite
100.0,0.0
157.5278,0.0
158.0099,0.001837
158.492,0.065687001
158.9741,0.157944
159.4562,0.216274
159.9383,0.123577
160.4205,0.08997
160.9026,0.255053
161.3847,0.658924
161.8668,1.025311
162.3489,1.095486
162.831,1.022655
163.3132,0.890469
163.7953,0.661781
164.2774,0.433779
164.7595,0.228334
165.2416,0.034162998
165.7237,0.048852999
166.2059,0.131702
166.688,0.436998
167.1701,0.65617
167.6522,0.564129
168.1343,0.439224
168.6164,0.515591
169.0985,0.868008
169.5807,1.209373
170.0628,1.338799
170.5449,1.314091
171.027,1.235256
171.5091,1.090654
171.9912,0.947441
172.4734,0.879494
172.9555,0.909369
173.4376,0.969227
173.9197,1.045967
174.4018,1.116032
174.8839,1.111864
175.3661,0.859097
175.8482,0.55443
176.3303,0.493118
176.8124,0.79797
177.2945,1.169708
177.7766,1.255289
178.2588,1.105961
178.7409,0.944897
179.223,0.920334
179.7051,0.974642
180.1872,1.013182
180.6693,1.126316
181.1515,1.251806
181.6336,1.313698
182.1157,1.361868
182.5978,1.437321
183.0799,1.518623
183.562,1.522305
184.0442,1.525694
184.5263,1.607971
185.0084,1.71265
185.4905,1.731121
185.9726,1.664574
186.4547,1.574837
186.9369,1.528196
187.419,1.483437
187.9011,1.467455
188.3832,1.521739
188.8653,1.566986
189.3474,1.463404
189.8296,1.209225
190.3117,0.978313
190.7938,0.886077
191.2759,0.924668
191.758,1.011137
192.2401,1.136272
192.7223,1.291624
193.2044,1.485666
193.6865,1.733512
194.1686,1.916065
194.6507,1.916899
195.1328,1.741962
195.615,1.473455
196.0971,1.067529
196.5792,0.596641
197.0613,0.366113
197.5434,0.401785
198.0255,0.552432
198.5077,0.72175
198.9898,0.91616
199.4719,0.978549
199.954,0.796253
200.4361,0.446432
200.9182,0.425903
201.4004,0.841835
201.8825,1.261106
202.3646,1.166471
202.8467,0.484232
203.3288,0.081873
203.8109,0.353321
204.2931,0.356546
204.7752,0.29084
205.2573,0.128738
205.7394,0.036759999
206.2215,0.104462
206.7036,0.059861999
207.1858,0.01306
207.6679,0.118359
208.15,0.248403
208.6321,0.272538
209.1142,0.163651
209.5963,0.00036000001
210.0785,0.149227
210.5606,0.297367
211.0427,0.380322
211.5248,0.364727
212.0069,0.253414
212.489,0.180702
212.9712,0.157923
213.4533,0.157042
213.9354,0.153725
214.4175,0.157055
214.8996,0.127956
215.3817,0.04738
215.8639,0.093301997
216.346,0.162745
216.8281,0.133968
217.3102,0.070274003
217.7923,0.049417
218.2744,0.101948
218.7565,0.11536
219.2387,0.042727999
219.7208,0.119917
220.2029,0.20167
220.685,0.175667
221.1671,0.099619001
221.6492,0.031145001
222.1314,0.039349001
222.6135,0.081721999
223.0956,0.088871002
223.5777,0.063660003
224.0598,0.0050349999
224.5419,0.103432
225.0241,0.21706
225.5062,0.289625
225.9883,0.30945
226.4704,0.309044
226.9525,0.278477
227.4346,0.213182
227.9168,0.225245
228.3989,0.358177
228.881,0.521942
229.3631,0.623268
229.8452,0.650356
230.3273,0.63785
230.8095,0.574291
231.2916,0.455896
231.7737,0.398413
232.2558,0.433558
232.7379,0.496725
233.22,0.519131
233.7022,0.469219
234.1843,0.440575
234.6664,0.453983
235.1485,0.509651
235.6306,0.573046
236.1127,0.640238
236.5949,0.719982
237.077,0.83217
237.5591,1.033649
238.0412,1.153337
238.5233,1.125319
239.0054,0.949472
239.4876,0.871471
239.9697,0.972759
240.4518,1.083426
240.9339,1.036364
241.416,0.709536
241.8981,0.467983
242.3803,0.390415
242.8624,0.472269
243.3445,0.548367
243.8266,0.611698
244.3087,0.67782
244.7908,0.764561
245.273,0.900455
245.7551,0.998537
246.2372,1.037424
246.7193,1.021427
247.2014,1.006557
247.6835,0.978537
248.1657,0.968498
248.6478,1.004984
249.1299,1.115355
249.612,1.212942
250.0941,1.285467
250.5762,1.335524
251.0584,1.387482
251.5405,1.459332
252.0226,1.508749
252.5047,1.501898
252.9868,1.416319
253.4689,1.319481
253.9511,1.167303
254.4332,0.999056
254.9153,1.07523
255.3974,1.565149
255.8795,2.04283
256.3616,2.217421
256.8438,1.962286
257.3259,1.73382
257.808,1.543337
258.2901,1.406218
258.7722,1.393221
259.2543,1.562399
259.7365,1.759296
260.2186,1.899191
260.7007,1.956255
261.1828,2.018293
261.6649,2.108688
262.147,2.21455
262.6292,2.23855
263.1113,2.131115
263.5934,2.059364
264.0755,2.127144
264.5576,2.403992
265.0397,2.534161
265.5219,2.437262
266.004,2.230885
266.4861,2.224297
266.9682,2.516977
267.4503,2.794443
267.9324,2.874874
268.4146,2.691002
268.8967,2.610996
269.3788,2.654987
269.8609,2.782566
270.343,2.942661
270.8251,3.166855
271.3073,3.317392
271.7894,3.287283
272.2715,3.044222
272.7536,2.984541
273.2357,3.160179
273.7178,3.436197
274.2,3.626341
274.6821,3.721304
275.1642,3.800156
275.6463,3.881376
276.1284,3.960215
276.6105,4.049625
277.0927,4.160379
277.5748,4.274004
278.0569,4.364468
278.539,4.429193
279.0211,4.48748
279.5032,4.545828
279.9854,4.601299
280.4675,4.639278
280.9496,4.65555
281.4317,4.680943
281.9138,4.766287
282.3959,4.913403
282.8781,5.008923
283.3602,4.997568
283.8423,4.915854
284.3244,4.916521
284.8065,5.002354
285.2886,5.149807
285.7708,5.388868
286.2529,5.709496
286.735,5.916508
287.2171,5.947498
287.6992,5.853466
288.1813,5.725626
