WavwNum_Pyrite,value_Pyrite
100.0,0.0
147.7724,0.0
148.2546,0.492972
148.7367,1.16468
149.2188,0.701703
149.7009,1.320495
150.183,0.010902
150.6651,0.266768
151.1473,0.382277
151.6294,1.538184
152.1115,0.148415
152.5936,0.370933
153.0757,1.250416
153.5578,1.291177
154.04,1.752213
154.5221,0.85838
155.0042,1.068895
155.4863,0.971176
155.9684,1.929585
156.4505,2.053679
156.9327,1.165925
157.4148,0.283883
157.8969,1.324674
158.379,0.537438
158.8611,0.724274
159.3432,0.101672
159.8254,0.056547999
160.3075,0.026705001
160.7896,0.449725
161.2717,0.532421
161.7538,0.538542
162.2359,0.627517
162.7181,0.982307
163.2002,1.393541
163.6823,1.569903
164.1644,1.139433
164.6465,0.643775
165.1286,0.408027
165.6108,0.533838
166.0929,0.657777
166.575,0.562507
167.0571,0.349772
167.5392,0.203767
168.0213,0.232801
168.5035,0.344295
168.9856,0.48869
169.4677,0.680333
169.9498,0.85334
170.4319,0.985595
170.914,1.068732
171.3962,1.078946
171.8783,0.942301
172.3604,0.754978
172.8425,0.600563
173.3246,0.467728
173.8067,0.385276
174.2889,0.416614
174.771,0.527234
175.2531,0.605833
175.7352,0.529252
176.2173,0.399153
176.6994,0.367393
177.1816,0.523049
177.6637,0.6932
178.1458,0.759175
178.6279,0.73585
179.11,0.6887
179.5921,0.659645
180.0743,0.648086
180.5564,0.628173
181.0385,0.59561
181.5206,0.551129
182.0027,0.461891
182.4848,0.335927
182.967,0.248036
183.4491,0.261362
183.9312,0.356586
184.4133,0.491861
184.8954,0.699091
185.3775,0.898861
185.8596,0.933912
186.3418,0.805162
186.8239,0.622973
187.306,0.431079
187.7881,0.246302
188.2702,0.161198
188.7523,0.240502
189.2345,0.400803
189.7166,0.436037
190.1987,0.341319
190.6808,0.21801
191.1629,0.148455
191.6451,0.12914
192.1272,0.134233
192.6093,0.171052
193.0914,0.222192
193.5735,0.225173
194.0556,0.174369
194.5378,0.116305
195.0199,0.106196
195.502,0.141187
195.9841,0.166834
196.4662,0.107254
196.9483,0.006629
197.4305,0.021692
197.9126,0.031389002
198.3947,0.13775
198.8768,0.211409
199.3589,0.277031
199.841,0.301891
200.3232,0.256081
200.8053,0.176849
201.2874,0.155797
201.7695,0.219679
202.2516,0.318843
202.7337,0.417231
203.2159,0.520103
203.698,0.572873
204.1801,0.558847
204.6622,0.481525
205.1443,0.352784
205.6264,0.150063
206.1086,0.033984002
206.5907,0.068786003
207.0728,0.080003999
207.5549,0.194809
208.037,0.20153
208.5191,0.116687
209.0013,0.110685
209.4834,0.217414
209.9655,0.336656
210.4476,0.356231
210.9297,0.247528
211.4118,0.139117
211.894,0.046195999
212.3761,0.029302999
212.8582,0.017085001
213.3403,0.124553
213.8224,0.289766
214.3045,0.374753
214.7867,0.361156
215.2688,0.327037
215.7509,0.276639
216.233,0.208894
216.7151,0.219334
217.1972,0.322768
217.6794,0.473542
218.1615,0.614921
218.6436,0.7765
219.1257,0.827302
219.6078,0.705745
220.0899,0.409551
220.5721,0.253653
221.0542,0.308095
221.5363,0.417237
222.0184,0.405488
222.5005,0.195957
222.9826,0.046932999
223.4648,0.038474001
223.9469,0.172625
224.429,0.236031
224.9111,0.19533
225.3932,0.122017
225.8753,0.090961002
226.3575,0.121783
226.8396,0.149008
227.3217,0.159505
227.8038,0.153336
228.2859,0.137521
228.768,0.101769
229.2502,0.068084002
229.7323,0.059891
230.2144,0.091131002
230.6965,0.121401
231.1786,0.147747
231.6607,0.166595
232.1429,0.163884
232.625,0.120306
233.1071,0.077878997
233.5892,0.079752997
234.0713,0.166862
234.5534,0.225865
235.0356,0.209193
235.5177,0.115019
235.9998,0.064788997
236.4819,0.079131998
236.964,0.114075
237.4461,0.127336
237.9283,0.085106
238.4104,0.091821998
238.8925,0.194836
239.3746,0.385534
239.8567,0.462887
240.3388,0.339114
240.821,0.204834
241.3031,0.2359
241.7852,0.603941
242.2673,0.780058
242.7494,0.608476
243.2315,0.132357
243.7137,0.129918
244.1958,0.088620998
244.6779,0.052425999
245.16,0.153052
245.6421,0.19663
246.1242,0.23594
246.6064,0.297095
247.0885,0.366314
247.5706,0.327548
248.0527,0.076628998
248.5348,0.144733
249.0169,0.15601
249.499,0.183232
249.9812,0.413677
250.4633,0.472681
250.9454,0.39144
251.4275,0.316267
251.9096,0.255044
252.3917,0.188775
252.8739,0.092382997
253.356,0.094936997
253.8381,0.156326
254.3202,0.019436
254.8023,0.246334
255.2844,0.378127
255.7666,0.312027
256.2487,0.227379
256.7308,0.230615
257.2129,0.384726
257.695,0.446013
258.1772,0.356795
258.6593,0.186267
259.1414,0.133795
259.6235,0.272099
260.1056,0.39679
260.5877,0.395238
261.0699,0.192848
261.552,0.107072
262.0341,0.179724
262.5162,0.345499
262.9983,0.479294
263.4804,0.595474
263.9626,0.638833
264.4447,0.566222
264.9268,0.340509
265.4089,0.210884
265.891,0.207424
266.3731,0.268586
266.8553,0.281977
267.3374,0.221203
267.8195,0.189079
268.3016,0.253146
268.7837,0.440852
269.2658,0.465583
269.748,0.261096
270.2301,0.018878
270.7122,0.130885
271.1943,0.02947
271.6764,0.080848001
272.1585,0.135568
272.6407,0.134883
273.1228,0.136279
273.6049,0.149093
274.087,0.146009
274.5691,0.069519997
275.0512,0.108509
275.5334,0.211637
276.0155,0.170499
276.4976,0.001153
276.9797,0.119482
277.4618,0.181512
277.9439,0.222015
278.426,0.281934
278.9081,0.365003
279.3903,0.425547
279.8724,0.439326
280.3545,0.423578
280.8366,0.491127
281.3187,0.674204
281.8008,0.802637
282.283,0.64718
282.7651,0.199479
283.2472,0.031645
283.7293,0.109409
284.2114,0.479218
284.6935,0.650638
285.1757,0.611798
285.6578,0.501621
286.1399,0.412357
286.622,0.341295
287.1041,0.244958
287.5862,0.103157
288.0684,0.045136001
288.5505,0.114528
289.0326,0.105443
289.5147,0.064663999
289.9968,0.013536
290.4789,0.111925
290.9611,0.103675
291.4432,0.054784
291.9253,0.233702
292.4074,0.190122
292.8895,0.053872
293.3716,0.269662
293.8538,0.30385
294.3359,0.215218
294.818,0.194057
295.3001,0.256213
295.7822,0.348452
296.2643,0.428395
296.7465,0.489945
297.2286,0.507372
297.7107,0.447669
298.1928,0.340093
298.6749,0.225613
299.157,0.100422
299.6392,0.026497999
300.1213,0.114492
300.6034,0.307665
301.0855,0.457082
301.5676,0.49006
302.0497,0.46031
302.5319,0.409087
303.014,0.332227
303.4961,0.279498
303.9782,0.320823
304.4603,0.407958
304.9424,0.457333
305.4246,0.434622
305.9067,0.376191
306.3888,0.279683
306.8709,0.167655
307.353,0.115017
307.8351,0.216722
308.3173,0.368253
308.7994,0.436198
309.2815,0.363821
309.7636,0.26479
310.2457,0.216774
310.7278,0.211697
311.21,0.223229
311.6921,0.275639
312.1742,0.336059
312.6563,0.342392
313.1384,0.26232
313.6205,0.217411
314.1027,0.318596
314.5848,0.498857
315.0669,0.642183
315.549,0.72856
316.0311,0.742774
316.5132,0.627495
316.9954,0.358016
317.4775,0.170804
317.9596,0.240984
318.4417,0.422785
318.9238,0.552678
319.4059,0.497455
319.8881,0.454265
320.3702,0.520627
320.8523,0.693679
321.3344,0.836862
321.8165,0.848841
322.2986,0.848945
322.7808,0.927803
323.2629,1.017445
323.745,1.279819
324.2271,1.716479
324.7092,2.338719
325.1913,3.219357
325.6735,4.64784
326.1556,6.134278
326.6377,7.450551
327.1198,8.776742
327.6019,9.645763
328.084,9.779819
328.5662,9.422035
329.0483,9.209084
329.5304,9.108256
330.0125,9.184777
330.4946,9.494408
330.9767,10.1539
331.4589,10.72169
331.941,11.13476
332.4231,11.48572
332.9052,11.89963
333.3873,12.41237
333.8694,12.94368
334.3516,13.45369
334.8337,13.92661
335.3158,14.5257
335.7979,15.28417
336.28,16.12447
336.7621,16.91472
337.2443,17.51364
337.7264,18.43377
338.2085,19.65802
338.6906,21.25363
339.1727,23.76262
339.6548,27.36635
340.137,31.47273
340.6191,35.86548
341.1012,40.52447
341.5833,44.93758
342.0654,48.76175
342.5475,52.56051
343.0297,58.93831
343.5118,68.64768
343.9939,74.96194
344.476,73.39857
344.9581,64.48931
345.4402,53.85433
345.9224,41.1263
346.4045,28.59667
346.8866,19.67896
347.3687,14.15623
347.8508,10.35015
348.3329,8.033051
348.8151,6.851799
349.2972,5.902184
349.7793,5.182301
350.2614,4.643612
350.7435,4.383366
351.2256,4.290024
351.7078,4.034867
352.1899,3.442822
352.672,2.723242
353.1541,2.121705
353.6362,1.636499
354.1183,1.291682
354.6005,1.181726
355.0826,1.196165
355.5647,1.173649
356.0468,1.068952
356.5289,0.969563
357.011,0.945873
357.4932,0.984587
357.9753,1.054648
358.4574,1.168977
358.9395,1.290231
359.4216,1.33435
359.9037,1.2725
360.3859,1.369534
360.868,1.782954
361.3501,2.436922
361.8322,3.238998
362.3143,4.344964
362.7964,5.420904
363.2786,6.381884
