WavwNum_Pyrolusite,value_Pyrolusite
100.0,0.0
156.9572,0.0
157.4393,0.206478
157.9214,0.332455
158.4035,0.095675997
158.8856,0.0097080003
159.3677,0.212961
159.8499,0.438845
160.332,0.456203
160.8141,0.33367
161.2962,0.511606
161.7783,1.516891
162.2604,2.640017
162.7426,3.295277
163.2247,2.769482
163.7068,2.01359
164.1889,1.211182
164.671,0.402687
165.1531,0.02039
165.6353,0.747482
166.1174,1.785292
166.5995,2.309383
167.0816,1.379929
167.5637,0.302717
168.0458,0.038490001
168.528,0.368313
169.0101,0.981808
169.4922,1.73406
169.9743,2.450012
170.4564,2.859562
170.9385,2.773104
171.4207,2.406622
171.9028,1.834743
172.3849,1.051147
172.867,0.540243
173.3491,0.307924
173.8312,0.369535
174.3134,0.507702
174.7955,0.726118
175.2776,0.9223
175.7597,0.894594
176.2418,0.59557
176.7239,0.356531
177.2061,0.658222
177.6882,1.283312
178.1703,1.67041
178.6524,1.234301
179.1345,0.471344
179.6166,0.336977
180.0988,0.988367
180.5809,1.734814
181.063,1.696655
181.5451,1.026609
182.0272,0.423365
182.5093,0.302603
182.9915,0.508684
183.4736,0.652142
183.9557,0.68446
184.4378,0.735575
184.9199,1.094309
185.402,1.697014
185.8842,2.135696
186.3663,2.143307
186.8484,1.79414
187.3305,1.288101
187.8126,0.56204
188.2947,0.125668
188.7769,0.279848
189.259,0.075258002
189.7411,0.43788
190.2232,0.423903
190.7053,0.120428
191.1874,0.135481
191.6696,0.650337
192.1517,1.31567
192.6338,1.631903
193.1159,1.6154
193.598,1.529476
194.0801,1.658695
194.5623,1.8941
195.0444,1.838833
195.5265,1.492432
196.0086,1.037331
196.4907,0.7488
196.9728,0.636034
197.455,0.628485
197.9371,0.747068
198.4192,0.991978
198.9013,1.090851
199.3834,0.980154
199.8655,0.754438
200.3477,0.62644
200.8298,0.601774
201.3119,0.654165
201.794,0.816088
202.2761,1.109278
202.7582,1.26478
203.2404,1.238083
203.7225,1.075907
204.2046,0.84672
204.6867,0.484234
205.1688,0.281017
205.6509,0.511536
206.1331,1.274706
206.6152,1.810978
207.0973,1.995859
207.5794,1.944647
208.0615,2.028349
208.5436,2.303465
209.0258,2.564947
209.5079,2.671144
209.99,2.58642
210.4721,2.523088
210.9542,2.533352
211.4363,2.564314
211.9185,2.401117
212.4006,1.945267
212.8827,1.5056
213.3648,1.300175
213.8469,1.400225
214.329,1.455599
214.8112,1.431942
215.2933,1.34676
215.7754,1.331747
216.2575,1.411663
216.7396,1.516806
217.2217,1.62191
217.7039,1.741318
218.186,1.800777
218.6681,1.770767
219.1502,1.681231
219.6323,1.656193
220.1144,1.768072
220.5966,1.821178
221.0787,1.662701
221.5608,1.140074
222.0429,0.834055
222.525,0.85351
223.0071,1.104017
223.4893,1.27203
223.9714,1.391777
224.4535,1.370434
224.9356,1.108753
225.4177,0.410593
225.8998,0.05308
226.382,0.191881
226.8641,0.074165002
227.3462,0.111914
227.8283,0.455933
228.3104,0.731653
228.7925,0.815281
229.2747,0.648163
