WavwNum_Quartz,value_Quartz
100.0,0.0
113.173,0.0
113.6551,0.537445
114.1373,1.620407
114.6194,6.682663
115.1015,12.95487
115.5836,19.49544
116.0657,26.55046
116.5478,33.84793
117.03,41.32278
117.5121,49.39359
117.9942,57.07373
118.4763,65.62769
118.9584,76.66563
119.4405,90.74765
119.9227,107.5697
120.4048,126.4288
120.8869,146.9299
121.369,171.0792
121.8511,200.376
122.3332,234.22
122.8154,271.4254
123.2975,308.7981
123.7796,350.3903
124.2617,401.9169
124.7438,465.6781
125.2259,534.1323
125.7081,608.4594
126.1902,684.132
126.6723,739.476
127.1544,771.4119
127.6365,779.494
128.1186,754.4647
128.6008,687.6782
129.0829,597.4016
129.565,502.8613
130.0471,404.6067
130.5292,314.1513
131.0113,240.3129
131.4935,181.8835
131.9756,134.8343
132.4577,100.1095
132.9398,75.87634
133.4219,57.34039
133.904,43.80405
134.3862,33.82187
134.8683,27.13428
135.3504,23.72325
135.8325,21.67563
136.3146,20.15274
136.7967,18.67967
137.2789,16.46275
137.761,14.22267
138.2431,12.40218
138.7252,11.82579
139.2073,12.79324
139.6894,13.50652
140.1716,13.06526
140.6537,11.17537
141.1358,10.46048
141.6179,11.29257
142.1,12.90392
142.5821,13.87042
143.0643,14.09967
143.5464,13.93556
144.0285,13.43578
144.5106,12.35623
144.9927,11.61792
145.4748,11.45787
145.957,11.60075
146.4391,11.2496
146.9212,10.18027
147.4033,8.890915
147.8854,7.585312
148.3675,6.245667
148.8497,4.922867
149.3318,3.634323
149.8139,2.377228
150.296,1.139877
150.7781,0.092299998
151.2602,1.056076
151.7424,2.4505
152.2245,4.558548
152.7066,6.385513
153.1887,7.907394
153.6708,9.105408
154.1529,9.914932
154.6351,10.12059
155.1172,10.07375
155.5993,10.01187
156.0814,9.950943
156.5635,9.889923
157.0456,9.978409
157.5278,10.21098
158.0099,9.983124
158.492,9.108948
158.9741,7.754379
159.4562,6.067184
159.9383,3.83934
160.4205,1.504059
160.9026,0.642502
161.3847,2.547958
161.8668,4.979263
162.3489,8.603287
162.831,12.77235
163.3132,16.73361
163.7953,19.58968
164.2774,22.67181
164.7595,26.92282
165.2416,32.63376
165.7237,38.02072
166.2059,41.91612
166.688,45.01358
167.1701,48.36751
167.6522,52.41873
168.1343,56.88713
168.6164,61.55359
169.0985,66.38193
169.5807,71.55449
170.0628,77.32544
170.5449,83.53482
171.027,89.82483
171.5091,96.0755
171.9912,102.3705
172.4734,108.6044
172.9555,114.6231
173.4376,121.1315
173.9197,128.8615
174.4018,137.5983
174.8839,146.7217
175.3661,155.1777
175.8482,163.9534
176.3303,174.3836
176.8124,186.9415
177.2945,200.6483
177.7766,215.2311
178.2588,230.4539
178.7409,244.7187
179.223,255.6798
179.7051,265.344
180.1872,277.3551
180.6693,292.763
181.1515,310.1456
181.6336,328.0198
182.1157,346.2729
182.5978,364.0374
183.0799,380.018
183.562,395.1646
184.0442,411.7155
184.5263,430.3187
185.0084,450.4409
185.4905,471.9041
185.9726,494.5936
186.4547,517.8461
186.9369,540.8866
187.419,564.1038
187.9011,588.0271
188.3832,612.803
188.8653,638.6767
189.3474,666.8102
189.8296,697.5212
190.3117,728.5976
190.7938,758.6374
191.2759,787.6445
191.758,815.1124
192.2401,839.9344
192.7223,863.9724
193.2044,893.7375
193.6865,930.0646
194.1686,967.8596
194.6507,1002.321
195.1328,1033.577
195.615,1064.276
196.0971,1094.717
196.5792,1124.878
197.0613,1154.577
197.5434,1183.567
198.0255,1212.836
198.5077,1243.369
198.9898,1275.439
199.4719,1305.252
199.954,1332.261
200.4361,1356.223
200.9182,1375.89
201.4004,1390.456
201.8825,1402.842
202.3646,1417.06
202.8467,1433.789
203.3288,1445.825
203.8109,1451.287
204.2931,1450.501
204.7752,1445.954
205.2573,1437.589
205.7394,1425.643
206.2215,1409.859
206.7036,1389.995
207.1858,1368.437
207.6679,1345.873
208.15,1322.205
208.6321,1296.133
209.1142,1267.569
209.5963,1236.728
210.0785,1203.162
210.5606,1166.303
211.0427,1129.778
211.5248,1094.453
212.0069,1060.309
212.489,1025.52
212.9712,990.2153
213.4533,953.9653
213.9354,916.3079
214.4175,875.9158
214.8996,837.1449
215.3817,800.632
215.8639,766.7053
216.346,734.1597
216.8281,703.2295
217.3102,673.3098
217.7923,643.8425
218.2744,613.8329
218.7565,586.163
219.2387,562.5319
219.7208,542.8229
220.2029,521.8312
220.685,498.7133
221.1671,475.528
221.6492,455.0808
222.1314,438.1787
222.6135,421.7289
223.0956,405.447
223.5777,389.1167
224.0598,372.8951
224.5419,356.2231
225.0241,340.113
225.5062,325.421
225.9883,312.6886
226.4704,300.4445
226.9525,288.5547
227.4346,276.8313
227.9168,266.157
228.3989,256.9203
228.881,248.2952
229.3631,239.626
229.8452,230.7691
230.3273,221.9774
230.8095,213.11
231.2916,204.0965
231.7737,196.1167
232.2558,189.7195
232.7379,183.9031
233.22,177.5734
233.7022,170.0573
234.1843,163.1518
234.6664,157.5495
235.1485,153.3916
235.6306,148.7055
236.1127,142.8268
236.5949,136.867
237.077,131.9431
237.5591,128.5473
238.0412,125.3381
238.5233,122.0018
239.0054,118.4817
239.4876,115.3981
239.9697,113.0219
240.4518,110.9993
240.9339,108.8597
241.416,106.136
241.8981,104.0272
242.3803,102.706
242.8624,102.1607
243.3445,102.4691
243.8266,104.304
244.3087,106.3469
244.7908,107.4119
245.273,106.8731
245.7551,106.5979
246.2372,107.1791
246.7193,108.4675
247.2014,108.2649
247.6835,105.424
248.1657,102.4324
248.6478,101.3384
249.1299,103.1206
249.612,104.6661
250.0941,105.5481
250.5762,105.851
251.0584,106.268
251.5405,106.9497
252.0226,107.5455
252.5047,107.7189
252.9868,107.029
253.4689,106.9835
253.9511,107.79
254.4332,109.3703
254.9153,111.2781
255.3974,113.5513
255.8795,116.112
256.3616,118.7656
256.8438,121.1239
257.3259,124.6365
257.808,129.5872
258.2901,135.741
258.7722,142.2299
259.2543,148.5871
259.7365,156.1181
260.2186,165.8718
260.7007,178.35
261.1828,191.4176
261.6649,205.3772
262.147,219.6027
262.6292,233.3134
263.1113,248.1043
263.5934,258.9296
264.0755,263.7104
264.5576,262.9037
265.0397,254.0814
265.5219,235.1646
266.004,209.4035
266.4861,182.711
266.9682,154.1145
267.4503,127.653
267.9324,105.7497
268.4146,88.51443
268.8967,73.74637
269.3788,61.6676
269.8609,51.92077
270.343,44.38751
270.8251,39.49942
271.3073,35.2483
271.7894,30.82543
272.2715,26.10519
272.7536,22.68021
273.2357,20.80821
273.7178,19.78316
274.2,18.4331
274.6821,16.61892
275.1642,15.19352
275.6463,14.75292
276.1284,15.3018
276.6105,14.62663
277.0927,12.41834
277.5748,9.655235
278.0569,7.49115
278.539,5.958572
279.0211,4.829102
279.5032,4.134094
279.9854,3.837784
280.4675,3.501205
280.9496,3.084045
281.4317,2.76403
281.9138,2.84404
282.3959,3.347336
282.8781,3.643852
283.3602,3.585327
283.8423,3.190636
284.3244,2.384827
284.8065,1.064262
285.2886,0.060821999
285.7708,0.040183999
286.2529,1.039017
286.735,1.463669
287.2171,0.637321
287.6992,0.911392
288.1813,1.613327
288.6635,1.434517
289.1456,1.174095
289.6277,1.689644
290.1098,2.802048
290.5919,3.160789
291.074,2.289345
291.5562,0.973389
292.0383,0.899574
292.5204,2.013031
293.0025,3.109505
293.4846,3.276573
293.9667,2.773232
294.4489,2.564621
294.931,2.85994
295.4131,3.220253
