WavwNum_Zoisite,value_Zoisite
100.0,0.0
163.1987,0.0
163.6808,18.18555
164.163,26.07617
164.6451,3.950195
165.1272,6.866699
165.6093,7.640625
166.0914,33.00586
166.5735,56.00586
167.0557,67.91748
167.5378,81.16553
168.0199,105.9194
168.502,140.8574
168.9841,175.0513
169.4662,197.0015
169.9484,214.7236
170.4305,239.6401
170.9126,283.4478
171.3947,332.1318
171.8768,371.9756
172.3589,403.0454
172.8411,430.2163
173.3232,452.8701
173.8053,474.5264
174.2874,503.0518
174.7695,545.3843
175.2516,595.6914
175.7338,646.8623
176.2159,697.5225
176.698,748.4434
177.1801,804.9673
177.6622,864.6626
178.1443,916.7358
178.6264,945.5142
179.1086,963.7998
179.5907,999.1147
180.0728,1059.461
180.5549,1129.265
181.037,1188.691
181.5191,1238.636
182.0013,1287.929
182.4834,1341.359
182.9655,1398.231
183.4476,1459.805
183.9297,1528.239
184.4118,1599.132
184.894,1662.483
185.3761,1719.758
185.8582,1783.151
186.3403,1851.732
186.8224,1924.179
187.3046,1991.507
187.7867,2053.41
188.2688,2102.074
188.7509,2132.845
189.233,2149.888
189.7151,2153.364
190.1973,2143.429
190.6794,2120.031
191.1615,2083.593
191.6436,2034.935
192.1257,1973.305
192.6078,1893.479
193.09,1792.396
193.5721,1678.731
194.0542,1558.331
194.5363,1430.72
195.0184,1313.523
195.5005,1222.082
195.9826,1155.893
196.4648,1076.083
196.9469,977.6255
197.429,873.3003
197.9111,786.8892
198.3932,725.6528
198.8753,681.4189
199.3575,634.9575
199.8396,584.791
200.3217,538.436
200.8038,501.6855
201.2859,473.6465
201.768,433.5659
202.2502,381.5034
202.7323,329.0391
203.2144,282.1294
203.6965,240.8208
204.1786,205.2046
204.6607,177.3374
205.1429,155.106
205.625,128.8086
206.1071,97.15771
206.5892,65.03809
207.0713,34.59912
207.5534,3.836426
208.0356,16.36426
208.5177,21.42725
208.9998,12.88477
209.4819,7.074219
209.964,4.034668
210.4461,3.650879
210.9282,7.224121
211.4104,17.33789
211.8925,23.44678
212.3746,23.5083
212.8567,17.52051
213.3388,5.338867
213.8209,13.14453
214.3031,37.8042
214.7852,68.30273
215.2673,103.4092
215.7494,146.8965
216.2315,205.1475
216.7136,283.1523
217.1958,338.3062
217.6779,364.7461
218.16,374.0166
218.6421,382.4717
219.1242,386.4272
219.6063,397.2456
220.0885,423.5747
220.5706,475.3594
221.0527,504.6357
221.5348,512.853
222.0169,498.252
222.499,453.0811
222.9812,360.231
223.4633,266.6709
223.9454,190.7505
224.4275,134.0283
224.9096,89.2373
225.3917,54.88867
225.8739,32.38525
226.356,27.78564
226.8381,54.7251
227.3202,79.00586
227.8023,82.68311
228.2844,51.77051
228.7665,31.46436
229.2487,27.40771
229.7308,35.1084
230.2129,38.26318
230.695,34.81152
231.1771,29.44287
231.6592,26.04688
232.1414,31.77246
232.6235,23.61768
233.1056,7.254883
233.5877,55.15771
234.0698,85.74023
234.5519,92.51709
235.0341,89.9585
235.5162,87.21924
235.9983,86.65674
236.4804,81.00537
236.9625,66.1792
237.4446,44.04492
237.9268,31.49316
238.4089,34.99512
238.891,40.74023
239.3731,37.84619
239.8552,20.80664
240.3373,5.533203
240.8195,5.345215
241.3016,11.90723
241.7837,18.77734
242.2658,22.06982
242.7479,29.75928
243.23,50.7583
243.7122,97.84033
244.1943,133.8271
244.6764,149.353
245.1585,143.957
245.6406,144.3945
246.1227,154.0874
246.6048,166.2734
247.087,173.874
247.5691,172.5615
248.0512,174.5562
248.5333,180.7065
249.0154,190.6162
249.4975,213.189
249.9797,255.4756
250.4618,303.7485
250.9439,343.1772
251.426,370.9653
251.9081,394.9795
252.3902,413.8647
252.8724,425.835
