WavwNum_Albite,value_Albite,WavwNum_Almandine,value_Almandine,WavwNum_Amesite,value_Amesite,WavwNum_Anatase,value_Anatase,WavwNum_Andradite,value_Andradite,WavwNum_Antigorite,value_Antigorite,WavwNum_Armalcolite,value_Armalcolite,WavwNum_Arsenopyrite,value_Arsenopyrite,WavwNum_Augite,value_Augite,WavwNum_Calcite,value_Calcite,WavwNum_Chalcopyrite,value_Chalcopyrite,WavwNum_Chamosite,value_Chamosite,WavwNum_Chrysotile,value_Chrysotile,WavwNum_Chromite,value_Chromite,WavwNum_Clinochlore,value_Clinochlore,WavwNum_Clinoenstatite,value_Clinoenstatite,WavwNum_Corundum,value_Corundum,WavwNum_Diopside,value_Diopside,WavwNum_Dolomite,value_Dolomite,WavwNum_Dwornikite,value_Dwornikite,WavwNum_Enstatite,value_Enstatite,WavwNum_Epidote,value_Epidote,WavwNum_Fayalite,value_Fayalite,WavwNum_Ferrosilite,value_Ferrosilite,WavwNum_Forsterite,value_Forsterite,WavwNum_Gaspeite,value_Gaspeite,WavwNum_Goethite,value_Goethite,WavwNum_Gunningite,value_Gunningite,WavwNum_Gypsum,value_Gypsum,WavwNum_Hedenbergite,value_Hedenbergite,WavwNum_Hematite,value_Hematite,WavwNum_Hydroxylherderite,value_Hydroxylherderite,WavwNum_Jarosite,value_Jarosite,WavwNum_Lepidocrocite,value_Lepidocrocite,WavwNum_Lithiophilite,value_Lithiophilite,WavwNum_Lizardite,value_Lizardite,WavwNum_Magnesiochromite,value_Magnesiochromite,WavwNum_Magnesite,value_Magnesite,WavwNum_Magnetite,value_Magnetite,WavwNum_Manganite,value_Manganite,WavwNum_Microcline,value_Microcline,WavwNum_Monticellite,value_Monticellite,WavwNum_Montmorillonite,value_Montmorillonite,WavwNum_Muscovite,value_Muscovite,WavwNum_Nontronite,value_Nontronite,WavwNum_Orthoclase,value_Orthoclase,WavwNum_Phlogopite,value_Phlogopite,WavwNum_Pimelite,value_Pimelite,WavwNum_Pyrite,value_Pyrite,WavwNum_Pyrolusite,value_Pyrolusite,WavwNum_Pyrope,value_Pyrope,WavwNum_Pyrophyllite,value_Pyrophyllite,WavwNum_Quartz,value_Quartz,WavwNum_Siderite,value_Siderite,WavwNum_Spinel,value_Spinel,WavwNum_Szomolnokite,value_Szomolnokite,WavwNum_Talc,value_Talc,WavwNum_Titanite,value_Titanite,WavwNum_Tremolite,value_Tremolite,WavwNum_Zircon,value_Zircon,WavwNum_Zoisite,value_Zoisite
100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,90.5957,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,91.981,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
130.3772,0.0,127.8412,0.0,108.7196,0.0,119.7566,0.0,122.4867,0.0,155.9293,0.0,196.0757,0.0,118.3257,0.0,113.3688,0.0,129.9852,0.0,140.636,0.0,150.5283,0.0,186.7848,0.0,226.1141,0.0,132.8255,0.0,140.5016,0.0,147.6079,0.0,123.2975,0.0,112.1203,0.0,163.1611,0.0,116.2615,0.0,120.6006,0.0,133.7897,0.0,180.5287,0.0,135.9857,0.0,167.6309,0.0,140.6501,0.0,157.7414,0.0,91.07782,37.26123,129.9328,0.0,142.2531,0.0,120.274,0.0,125.9404,0.0,163.8074,0.0,133.2699,0.0,132.9398,0.0,169.253,0.0,124.494,0.0,157.5278,0.0,127.6743,0.0,124.5917,0.0,155.9293,0.0,93.375,138.656,176.1783,0.0,151.5903,0.0,120.7718,0.0,165.5717,0.0,119.7619,0.95314973,147.7724,0.0,156.9572,0.0,154.8397,0.0,168.9465,0.0,113.173,0.0,150.296,0.0,146.3506,0.0,120.1467,0.0,153.7797,0.0,150.2341,0.0,141.9265,0.0,155.9293,0.0,163.1987,0.0
130.8593,29.94379,128.3233,0.388184,109.2017,6.03125,120.2387,228.5371,122.9688,8.033752,156.4115,0.333252,196.5579,0.021584,118.8078,32.08093,113.8509,22.80307,130.4673,7.846985,141.118,8.911,151.0105,1.375589,187.2669,13.24414,226.5962,1.493896,133.3076,0.057617001,140.9837,94.55078,148.0901,5.5625,123.7796,1.010681,112.6024,0.79652,163.6432,10.76318,116.7436,2.863434,121.0827,0.296997,134.2718,5.571381,181.0108,0.083740003,136.4678,2.565796,168.113,0.116692,141.1322,0.147745,158.2235,13.73877,91.55994,85.6543,130.4149,18.22266,142.7353,2.394104,120.756,19.734,126.4225,0.241959,164.2896,0.029564001,133.752,0.461609,133.4219,5.380859,169.735,0.487762,124.9761,0.109643,158.0099,0.001837,128.1564,2.106903,125.0739,0.374222,156.4115,8.046387,94.768,771.869,176.6604,5.121094,152.0724,5.921387,121.2539,2.130249,166.0538,12.39905,123.09524,0.82019626,148.2546,0.492972,157.4393,0.206478,155.3218,39.29492,169.4286,93.27734,113.6551,0.537445,150.7781,0.016968001,146.8327,0.188293,120.6289,10.29059,154.2619,0.392578,150.7162,167.75,142.4086,4.830078,156.4115,24.01416,163.6808,18.18555
131.3414,40.09552,128.8054,0.040894002,109.6838,1.233398,120.7209,27.95508,123.4509,7.316895,156.8936,7.203125,197.04,0.073256999,119.2899,34.44556,114.333,33.3385,130.9494,2.940948,141.6,0.265,151.4926,1.063826,187.7491,1.716797,227.0783,2.009521,133.7897,6.121216,141.4658,219.9106,148.5722,10.19238,124.2617,0.915649,113.0845,0.727068,164.1253,20.88257,117.2257,3.859222,121.5648,55.3186,134.7539,6.302979,181.4929,37.44788,136.9499,1.157593,168.5951,0.471851,141.6143,0.025751,158.7056,14.60889,92.04205,138.146,130.897,10.93799,143.2174,4.902069,121.238,79.289,126.9046,0.030594001,164.7717,0.011612,134.2341,0.794647,133.904,9.806641,170.217,2.691437,125.4582,0.213204,158.492,0.065687001,128.6386,7.485107,125.556,1.387924,156.8936,14.68896,96.161,1687.57,177.1425,2.0,152.5545,5.41748,121.736,1.740173,166.5359,6.358887,126.42857,0.57993036,148.7367,1.16468,157.9214,0.332455,155.8039,26.65625,169.9107,152.0508,114.1373,1.620407,151.2602,1.414413,147.3148,0.0087890001,121.111,1.56601,154.744,9.555908,151.1983,283.584,142.8907,0.161621,156.8936,35.44141,164.163,26.07617
131.8235,32.20599,129.2875,14.57031,110.166,6.476074,121.203,84.98828,123.933,2.533508,157.3757,25.07471,197.5221,0.585869,119.772,1.182983,114.8152,6.891602,131.4316,0.294617,142.082,0.547,151.9747,1.320155,188.2312,4.800781,227.5604,2.329163,134.2718,20.59332,141.948,335.9795,149.0543,12.61133,124.7438,10.02747,113.5667,0.57361,164.6075,23.72974,117.7079,4.549042,122.0469,120.5026,135.236,1.08783,181.975,98.37,137.432,10.62183,169.0772,0.821701,142.0964,0.065568998,159.1877,30.32129,92.52417,189.6455,131.3791,8.651855,143.6995,0.169708,121.72,163.704,127.3867,2.615494,165.2538,0.0053590001,134.7162,4.388855,134.3862,5.205078,170.699,8.595734,125.9404,0.230792,158.9741,0.157944,129.1207,13.04874,126.0381,4.943115,157.3757,1.442383,97.554,3325.132,177.6246,1.976563,153.0366,36.13379,122.2181,0.179321,167.018,4.582397,129.7619,0.46153846,149.2188,0.701703,158.4035,0.095675997,156.286,3.0,170.3929,176.7539,114.6194,6.682663,151.7424,2.310425,147.7969,2.581909,121.5931,5.490509,155.2261,41.72632,151.6805,256.0781,143.3728,6.734375,157.3757,5.512695,164.6451,3.950195
132.3056,10.15796,129.7696,35.29163,110.6481,38.98535,121.6851,75.19824,124.4151,0.617004,157.8578,40.90454,198.0042,1.550812,120.2541,0.391846,115.2973,8.213745,131.9137,8.220642,142.564,17.945,152.4568,1.419971,188.7133,3.150391,228.0425,1.429382,134.7539,36.34229,142.4301,424.3525,149.5364,8.908203,125.2259,24.47229,114.0488,0.238047,165.0896,9.50708,118.19,2.252014,122.529,168.5695,135.7182,1.014191,182.4572,115.8647,137.9142,39.71301,169.5593,1.253616,142.5785,0.39712,159.6698,80.27783,93.00629,233.1897,131.8612,30.17041,144.1816,6.086395,122.202,263.553,127.8688,7.207169,165.7359,0.112153,135.1983,14.93649,134.8683,5.667969,171.181,15.33276,126.4225,0.201006,159.4562,0.216274,129.6028,13.29535,126.5202,10.55197,157.8578,4.149414,98.947,4781.773,178.1067,1.664063,153.5188,80.37012,122.7003,4.965698,167.5002,1.782959,133.09524,0.31180753,149.7009,1.320495,158.8856,0.0097080003,156.7682,18.84863,170.875,204.2031,115.1015,12.95487,152.2245,2.380081,148.2791,4.065125,122.0752,1.562897,155.7082,62.34473,152.1626,42.21875,143.855,27.2959,157.8578,4.893066,165.1272,6.866699
132.7877,7.450928,130.2518,48.83948,111.1302,91.35449,122.1672,416.7856,124.8972,0.971558,158.3399,51.38232,198.4863,2.73024,120.7363,57.09583,115.7794,5.966187,132.3958,19.21594,143.046,37.306,152.9389,1.368842,189.1954,13.21484,228.5247,0.318848,135.236,47.94104,142.9122,483.1465,150.0185,4.577148,125.7081,44.22522,114.5309,0.072176002,165.5717,0.755859,118.6721,38.60818,123.0111,208.2776,136.2003,1.254242,182.9393,83.60938,138.3963,56.06531,170.0414,1.858196,143.0607,0.889832,160.1519,73.73047,93.4884,244.6594,132.3433,43.88025,144.6637,9.576935,122.684,395.597,128.3509,13.51413,166.218,0.270435,135.6804,23.22272,135.3504,10.53125,171.663,31.57516,126.9046,0.086562999,159.9383,0.123577,130.0849,26.27332,127.0023,11.6236,158.3399,3.125488,100.34,6600.203,178.5888,8.457031,154.0009,143.9121,123.1824,16.01752,167.9823,9.552368,136.19048,0.22950301,150.183,0.010902,159.3677,0.212961,157.2503,66.74902,171.3571,268.0391,115.5836,19.49544,152.7066,1.766647,148.7612,4.138062,122.5573,17.41144,156.1903,58.90723,152.6447,63.84375,144.3371,39.41504,158.3399,36.96045,165.6093,7.640625
133.2699,15.93201,130.7339,61.63159,111.6123,98.37012,122.6493,939.0723,125.3794,5.246033,158.8221,58.50488,198.9684,4.075577,121.2184,114.7322,116.2615,13.25574,132.8779,36.50439,143.529,48.33,153.421,0.628014,189.6775,23.51758,229.0068,0.093445003,135.7182,56.50684,143.3943,491.5879,150.5006,1.544922,126.1902,67.7226,115.013,0.329876,166.0538,1.432129,119.1542,85.31311,123.4933,253.1548,136.6824,10.173,183.4214,40.99475,138.8784,55.01404,170.5236,2.841694,143.5428,0.970009,160.6341,35.3374,93.97052,210.6997,132.8255,47.35217,145.1458,10.80417,123.166,527.713,128.8331,20.62093,166.7001,0.324195,136.1626,27.62817,135.8325,16.70117,172.145,32.86429,127.3867,0.01174,160.4205,0.08997,130.567,74.39899,127.4844,10.68311,158.8221,15.73584,101.732,8010.923,179.071,10.20703,154.483,237.6523,123.6645,26.99414,168.4644,9.856323,139.52381,0.17252295,150.6651,0.266768,159.8499,0.438845,157.7324,109.8252,171.8392,332.7266,116.0657,26.55046,153.1887,0.836502,149.2433,3.389282,123.0394,31.20001,156.6724,43.66089,153.1268,48.14258,144.8192,40.09912,158.8221,84.73779,166.0914,33.00586
133.752,16.7345,131.216,62.51233,112.0944,52.55762,123.1314,1641.233,125.8615,18.93811,159.3042,61.05811,199.4506,5.016411,121.7005,127.4213,116.7436,44.27545,133.36,63.35956,144.011,35.371,153.9032,0.772502,190.1596,32.78906,229.4889,1.007813,136.2003,61.51007,143.8764,442.7554,150.9828,0.441406,126.6723,88.06293,115.4951,0.338488,166.5359,8.744141,119.6363,128.0234,123.9754,308.2228,137.1645,26.70667,183.9035,41.45056,139.3605,43.28308,171.0057,3.751472,144.0249,0.800467,161.1162,5.794434,94.45264,146.917,133.3076,54.44507,145.628,2.127197,123.648,643.552,129.3152,27.17717,167.1823,0.239612,136.6447,30.47852,136.3146,47.38281,172.627,22.44006,127.8688,0.075176001,160.9026,0.255053,131.0491,147.4564,127.9666,12.70438,159.3042,29.10547,103.124,8974.396,179.5531,12.22266,154.9651,336.4668,124.1466,29.84344,168.9465,0.807251,142.85714,0.093067426,151.1473,0.382277,160.332,0.456203,158.2145,155.1621,172.3213,352.9609,116.5478,33.84793,153.6708,0.369522,149.7254,2.423096,123.5216,34.49237,157.1546,30.92456,153.6089,67.96289,145.3013,33.71826,159.3042,108.7246,166.5735,56.00586
134.2341,4.799438,131.6981,49.03168,112.5765,10.43408,123.6136,2498.993,126.3436,39.02362,159.7863,57.67725,199.9327,5.242142,122.1826,108.301,117.2257,90.63861,133.8421,98.76147,144.493,23.076,154.3853,0.657152,190.6418,40.37305,229.971,2.890564,136.6824,63.25336,144.3585,354.1309,151.4649,8.311523,127.1544,103.7093,115.9772,0.023461999,167.018,13.29272,120.1184,157.5278,124.4575,368.8458,137.6466,40.42258,184.3856,66.17517,139.8426,37.63647,171.4878,3.797691,144.507,0.565876,161.5983,4.147949,94.93475,108.0151,133.7897,90.48395,146.1101,5.890137,124.131,740.015,129.7973,33.47675,167.6644,0.145228,137.1268,36.39606,136.7967,56.91992,173.109,6.995361,128.3509,0.111008,161.3847,0.658924,131.5313,194.0876,128.4487,17.31155,159.7863,42.58447,104.516,8481.322,180.0352,27.73047,155.4472,430.0,124.6287,21.86255,169.4286,7.282959,146.19048,0.062361507,151.6294,1.538184,160.8141,0.33367,158.6966,182.252,172.8034,309.0781,117.03,41.32278,154.1529,0.682983,150.2075,1.595886,124.0037,32.29297,157.6367,23.71704,154.091,248.0879,145.7834,25.93799,159.7863,75.86768,167.0557,67.91748
